ID	WT_GpB_1	WT_GpB_2	WT_GpA_1	WT_GpA_2	WT_GpA_3	WT_GpA_4	WT_GpA_5	WT_GpA_6	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
ACTR3	24417	11671	15920	11468	18193	14691	16716	11105	4329	3483	3504	2647	4291	3173	2267	1535
ACTR5	188	191	343	329	371	239	327	315	57	58	65	49	62	38	67	66
ACTR6	1581	974	816	524	909	787	1277	871	118	232	123	134	154	125	89	112
ACTR8	770	542	1145	776	997	935	958	832	227	199	320	213	251	290	247	255
ACVR1	580	545	514	726	335	390	1453	810	68	115	57	82	38	47	146	96
ADA	242	311	398	913	279	594	535	1373	69	126	76	125	56	145	164	310
ADAM10	3184	2765	1601	1711	1904	1421	1790	1325	368	658	399	492	631	392	476	345
ADAM15	343	439	494	1318	1150	591	448	256	61	56	47	148	160	81	99	75
ADAM17	821	671	1109	862	1291	727	991	782	144	179	143	196	193	136	159	154
ADAM19	1936	2993	3943	4141	5830	2336	1606	6174	166	440	342	304	396	124	75	541
ADAM28	1716	401	874	458	132	2110	1120	892	158	32	180	87	25	241	146	209
ADAM8	3040	2169	3780	1836	809	2251	3023	1755	1093	643	941	313	168	536	643	762
ADAM9	518	1686	139	250	475	168	117	147	22	209	26	70	88	25	36	42
ADAMDEC1	584	1275	956	505	361	1739	526	355	166	645	288	171	204	470	80	155
ADAP1	312	307	307	814	671	542	197	82	51	52	43	75	153	122	37	23
ADAP2	211	436	677	669	1285	1114	989	379	23	29	46	40	94	71	85	30
ADAR	46243	20659	118013	39361	21405	77694	91232	57584	7231	4393	9900	4101	2617	6883	6004	7349
ADAT1	382	642	848	534	640	854	635	787	51	81	80	66	77	87	65	77
ADAT2	947	1047	596	406	360	973	967	557	33	26	40	32	29	58	68	43
ADCK1	243	148	316	435	234	324	370	335	67	46	47	69	32	42	63	67
ADCK2	571	557	802	1108	1019	1247	1067	1041	61	79	104	118	129	159	141	163
ADCK3	663	560	1538	897	571	1020	1171	1194	247	175	246	160	110	191	201	289
ADCK4	477	312	577	982	538	658	639	502	81	53	72	88	51	78	102	110
ADCY3	1290	1693	2129	2454	3922	1913	1591	1619	373	409	584	497	1003	536	388	622
ADCY7	3071	1354	4962	2520	2387	2964	3879	3069	410	200	569	269	283	329	342	426
ADD1	7809	3559	15655	10222	8711	10245	10802	7330	2417	1311	2334	1328	1672	1840	1594	1301
ADD3	1329	1180	1354	504	1490	906	858	2041	140	196	350	192	356	188	166	412
ADGRE2	159	355	310	231	737	175	264	107	224	188	79	197	156	112	147	31
ADGRE5	6405	1798	10129	7320	11710	6668	8634	2810	4477	1147	3426	1871	3668	2258	2942	1088
ADH5	1342	759	1952	1203	1087	1681	1542	1742	439	322	361	267	214	341	296	288
ADI1	2354	1107	3387	2987	2625	2807	2655	3979	278	160	139	173	90	96	118	165
ADIPOR1	1587	1599	2513	3162	3325	2205	2415	2153	101	109	199	292	374	222	503	359
ADIPOR2	1567	2549	1888	2362	2011	2113	2387	2237	83	186	119	156	165	137	103	148
ADIRF	460	39	693	318	162	149	377	134	554	23	238	82	103	90	154	66
ADK	1968	1606	1615	1899	2054	2858	2293	930	557	634	372	439	580	653	630	203
ADNP	6225	3441	6988	3557	4182	5201	5598	5426	1068	687	1344	702	869	916	991	799
ADNP2	797	758	758	1112	1332	1133	937	664	106	121	91	172	198	196	120	105
ADO	1411	1017	1961	1155	1297	1942	1370	1088	233	102	237	190	200	324	239	187
ADORA2A	21	31	27	36	20	25	17	70	180	148	230	206	227	265	162	383
ADPGK	1964	2495	3091	2167	2091	2449	2891	2736	339	400	337	233	226	197	374	342
ADPRH	1465	1144	2304	1248	2469	2086	1866	1960	112	94	170	66	119	85	81	122
ADPRHL2	472	364	701	1048	1052	706	716	707	78	70	119	99	153	94	114	118
ADPRM	229	202	205	267	259	229	310	204	38	30	36	29	55	23	41	30
ADRBK1	12651	6324	21652	12741	9988	15021	19558	15464	1466	875	2040	1307	1069	1584	1687	2361
ADRBK2	8888	5138	11605	3911	10215	6503	8610	6218	381	217	594	339	558	319	512	377
ADRM1	1629	1335	2008	2718	2396	1763	1990	1887	621	497	641	571	554	479	721	772
ADSL	1540	1540	1728	2918	2248	2391	2004	1929	354	377	329	408	412	484	631	397
ADSS	1859	1531	1430	1284	2162	1642	1908	1548	215	334	217	348	342	302	177	223
AEBP1	1138	300	1368	3354	2570	133	709	2120	549	152	342	514	273	215	334	459
AEBP2	1911	1524	1055	1408	1260	1261	1203	1010	338	312	248	309	280	251	198	219
AEN	4888	2095	4747	4790	2404	5609	8063	4463	513	207	277	287	119	297	323	393
AES	5591	4358	6903	7597	4070	5078	7184	6898	1458	1140	1249	1069	755	1123	1489	1239
AFF1	1922	1804	2044	1634	1929	1936	2415	2563	307	269	515	351	386	310	346	522
AFF3	4308	879	8586	1655	3005	2094	2969	4918	1642	323	3162	646	894	600	757	1303
AFF4	3131	2298	2466	1262	2883	1364	2786	2539	241	265	354	354	496	186	336	390
AFG3L2	1537	1705	1844	1859	1742	2076	2113	1897	237	409	194	325	266	305	431	269
AFMID	435	349	814	308	429	701	612	464	140	91	118	71	63	104	108	83
AFTPH	5535	2460	4210	1837	4823	2497	3032	2764	428	333	635	381	673	373	542	387
AGA	518	470	718	335	497	527	541	488	131	168	149	101	84	103	101	124
AGAP2	571	576	796	1254	1112	891	989	717	177	143	114	165	173	162	126	117
AGAP3	747	1177	1044	2588	1868	780	851	808	97	126	88	176	199	92	131	117
AGBL5	284	319	569	631	423	524	540	584	36	31	52	89	73	83	98	108
AGFG1	4962	2794	3489	3089	3285	4735	4187	2191	569	334	548	396	434	472	510	409
AGFG2	986	691	1885	2065	752	1728	2115	1309	289	125	279	150	115	221	285	210
AGGF1	1365	1200	892	338	655	562	660	638	90	117	119	84	121	95	141	92
AGK	814	1303	1101	1392	1577	2109	1321	643	176	321	97	208	220	243	117	63
AGL	1558	1323	1065	386	594	657	910	1073	502	313	536	318	386	417	383	308
AGMAT	259	414	489	379	251	438	521	1284	68	134	80	74	26	50	81	191
AGO1	1897	985	2529	2742	2032	2577	2671	1842	219	139	277	184	208	236	175	216
AGO2	751	584	827	1761	1423	1003	1094	414	254	186	210	268	344	212	239	158
AGO3	384	313	359	276	325	347	359	263	99	101	144	79	144	120	146	88
AGO4	759	856	837	673	1198	751	781	568	42	41	73	65	110	70	68	58
AGPAT1	887	615	1134	1311	769	1017	1305	1153	77	52	123	82	80	99	101	166
AGPAT3	4643	3506	8468	4672	3159	5161	6694	6672	374	258	417	318	190	301	418	631
AGPAT5	1648	1753	1276	791	959	1321	1564	1908	139	150	145	125	97	106	148	186
AGPAT6	2741	2570	5274	3606	2846	3433	3884	2349	163	188	226	130	176	173	229	146
AGPS	1591	1938	1085	905	1565	1224	1012	754	257	404	266	284	345	320	192	142
AGRN	81	905	111	618	2010	120	156	164	25	309	26	99	277	22	39	58
AGTPBP1	1673	2266	1072	595	1245	772	761	970	128	181	175	168	289	213	266	168
AHCTF1	1218	2479	838	389	930	556	646	716	323	524	336	361	518	413	397	185
AHCY	3704	3264	4468	4695	3697	6498	4865	5198	719	752	620	694	420	937	744	932
AHCYL1	4457	2933	7604	9376	6076	8688	11626	5212	1130	683	861	864	694	961	1180	619
AHCYL2	533	653	485	998	743	964	926	740	131	182	68	141	77	138	73	89
AHDC1	304	176	515	938	1283	347	378	760	65	37	106	120	181	69	52	166
AHNAK	33955	5767	59319	37085	26763	23082	24332	14218	11308	2619	10794	6142	7892	5710	5820	3373
AHSA1	3227	1897	4265	8394	3497	4244	4728	5167	866	612	468	634	401	479	502	693
AIDA	301	646	118	137	258	154	158	178	35	133	42	100	69	122	200	30
AIFM1	1091	985	1391	1706	1238	1674	1737	1293	428	456	219	417	265	294	435	297
AIFM2	200	314	371	448	582	249	301	539	28	71	25	63	87	29	32	51
AIM1	475	794	1321	803	1207	849	542	3708	60	174	262	189	255	136	67	634
AIM2	421	195	484	448	385	321	1109	755	63	49	140	152	125	107	214	264
AIMP1	1362	810	1119	601	749	1206	1146	733	369	251	291	197	175	284	180	240
AIMP2	545	401	839	743	588	701	610	327	415	246	275	227	304	280	235	155
AIP	3539	1644	5055	3376	2465	3538	3658	3910	1147	507	844	633	421	685	921	934
AK2	3700	3877	5374	5000	4204	7253	5890	4985	598	640	345	389	223	470	269	381
AK3	1760	1334	1120	920	688	1373	1538	1374	266	212	228	144	62	168	350	203
AK6	839	514	434	294	427	463	634	267	233	185	124	129	144	126	112	84
AKAP1	1012	851	1552	1538	1151	1617	1830	883	184	137	173	176	138	165	214	191
AKAP10	854	582	957	551	798	701	917	729	72	79	112	92	98	76	175	110
AKAP11	5380	2430	3064	1041	2201	2046	2064	1438	667	290	920	386	874	670	639	321
AKAP13	14828	6791	24627	7781	15555	10692	12430	15372	1919	1244	3007	1143	1822	1231	1237	1672
AKAP8	1265	840	1732	1559	1090	1264	1783	1470	288	178	245	201	162	164	250	291
AKAP8L	1236	750	1726	1498	1708	1241	1719	1057	527	355	439	310	360	298	525	301
AKAP9	876	4554	1567	388	784	672	766	1052	289	450	547	291	465	418	495	351
AKIRIN1	4114	1840	4465	3149	5245	3733	5415	3121	184	182	253	181	277	230	247	166
AKIRIN2	1391	764	1636	2142	2332	1461	1608	1199	704	359	395	320	383	276	172	206
AKNA	8138	4651	15260	8792	10177	9758	11117	6934	1860	697	2162	949	1426	1213	1016	1201
AKR1A1	3737	1931	5868	5142	3087	4773	4765	5476	1401	753	1075	822	582	951	1121	1101
AKR1B1	1555	2136	1211	4355	2148	2443	2333	1092	481	890	311	297	354	332	364	168
AKR7A2	297	379	457	390	350	361	284	480	150	174	164	125	100	153	182	175
AKT1	2666	2298	3490	7184	2676	4412	4036	3769	226	177	268	444	287	537	416	427
AKT1S1	535	378	757	787	690	741	815	626	62	21	29	61	29	46	54	53
AKT2	2795	2430	4345	7489	9939	4101	6825	3299	433	315	498	735	1261	441	765	505
ALAD	1286	676	1807	1279	926	1380	1463	2062	152	105	157	143	82	134	129	217
ALAS1	1488	1703	2139	2929	2767	2807	2723	2184	519	764	460	434	503	513	429	389
ALCAM	2735	2182	1506	2133	2599	1524	1574	1287	463	464	352	689	852	481	282	293
ALDH16A1	609	414	466	1186	972	687	680	710	343	147	182	308	216	197	183	264
ALDH18A1	1472	1965	2979	3424	3148	2844	3806	3221	837	1066	794	821	852	758	808	817
ALDH1B1	581	742	650	797	568	872	1189	712	147	178	86	98	80	112	167	95
ALDH2	1013	1534	783	2218	7655	398	415	965	387	579	161	427	1099	102	84	192
ALDH3A2	465	492	772	377	615	787	789	722	113	73	98	81	65	91	111	119
ALDH4A1	377	188	688	586	372	638	646	236	109	41	63	51	45	82	78	37
ALDH5A1	726	482	1603	566	752	1124	1142	1470	157	77	166	129	89	161	136	206
ALDH6A1	557	218	741	427	656	754	640	478	235	101	177	117	163	141	107	108
ALDH9A1	798	806	1542	1105	1882	1246	1152	1117	253	324	304	206	355	204	167	210
ALDOA	12039	10094	14837	24055	15848	17455	16898	16626	5684	4876	4416	3708	2983	3910	3331	4507
ALDOC	1171	1395	795	1179	846	1224	1416	1188	422	528	221	156	128	187	182	224
ALG1	406	423	441	550	609	472	491	635	112	141	85	129	95	110	128	111
ALG10	290	359	202	189	234	225	234	248	132	195	68	107	86	108	64	48
ALG10B	731	1254	212	348	329	350	598	384	33	112	22	57	52	66	41	31
ALG11	106	85	77	40	56	50	52	100	34	75	71	35	68	55	58	43
ALG12	308	310	419	463	279	386	355	442	81	84	124	71	58	94	139	144
ALG13	865	892	797	529	639	666	863	762	211	159	201	140	174	163	133	167
ALG2	1774	1320	2430	1358	1786	1476	2637	3143	330	263	389	256	265	208	447	453
ALG3	351	330	437	612	300	422	526	429	149	88	129	118	88	135	210	184
ALG5	726	516	567	560	786	643	692	338	87	148	99	109	165	90	242	84
ALG6	266	285	194	208	154	226	245	255	65	79	40	41	28	42	35	42
ALG8	362	379	532	516	346	665	725	528	161	119	160	102	110	120	118	133
ALG9	497	445	643	781	673	939	744	518	66	81	73	82	74	98	143	79
ALKBH1	369	216	534	378	399	458	473	385	166	81	124	113	80	106	98	130
ALKBH2	350	345	478	427	260	533	560	332	91	63	50	81	46	102	122	73
ALKBH3	346	299	459	436	582	476	598	355	59	62	39	66	68	46	86	53
ALKBH4	239	177	343	326	228	252	339	383	42	29	37	24	22	30	43	43
ALKBH5	2097	1145	3402	2507	3407	2574	2556	2641	272	193	411	385	425	380	408	448
ALKBH6	187	141	318	314	182	224	240	239	87	33	78	70	53	78	76	101
ALKBH7	472	378	500	463	449	358	423	292	218	98	184	214	244	326	485	251
ALKBH8	1045	589	560	225	408	407	508	471	61	46	55	49	46	54	72	53
ALMS1	564	1166	527	318	672	659	371	730	160	192	279	201	246	271	151	256
ALOX5	2719	1367	4817	1239	219	1971	2676	12680	1130	483	1243	263	55	392	680	3159
ALOX5AP	304	245	1175	313	692	425	278	800	165	135	346	97	147	103	58	167
ALPK1	1167	822	2758	857	1435	1929	4474	1022	164	123	442	176	270	269	702	252
ALS2	811	645	804	689	681	766	869	667	89	73	87	89	87	86	111	99
ALYREF	1322	1200	1757	2283	1614	2086	1503	1583	798	828	620	646	473	647	443	577
AMBRA1	1584	1018	2969	2654	2002	2253	2878	1500	726	320	573	450	416	418	499	408
AMD1	4408	4275	2415	3170	3049	3338	2998	2913	83	192	72	188	118	170	207	148
AMDHD2	239	359	297	671	390	275	241	322	65	70	94	61	83	78	75	91
AMER1	317	237	746	544	449	712	697	961	31	22	42	34	30	33	27	66
AMFR	3397	1832	6009	4353	4567	3263	4698	3952	613	460	907	619	793	584	828	819
AMICA1	2015	2320	1914	907	110	1748	1646	619	495	676	237	99	21	177	164	116
AMIGO2	628	410	511	451	1376	400	692	219	84	48	67	56	261	52	114	23
AMMECR1	918	689	508	737	505	651	702	621	78	56	55	102	49	58	55	74
AMMECR1L	1474	932	1941	1923	1989	1891	1866	1071	123	84	95	106	126	107	83	64
AMN1	154	250	193	123	224	208	210	345	29	24	27	26	28	32	21	37
AMPD2	843	577	1218	3131	1066	1459	1435	1215	344	185	229	393	221	283	306	349
AMPD3	1151	1386	2010	1349	3405	1169	1492	1814	408	442	497	297	654	220	231	314
AMZ2	2143	1086	2419	1081	1296	2175	2318	1681	192	146	237	130	172	213	358	217
ANAPC1	1980	1769	2029	1826	1714	2674	2669	1831	577	555	455	597	430	697	759	334
ANAPC11	672	388	750	1884	397	671	591	544	207	122	99	128	51	125	161	168
ANAPC13	460	535	606	469	579	494	644	994	112	152	84	120	89	102	53	124
ANAPC15	311	269	324	533	219	309	384	339	59	65	71	59	37	73	112	93
ANAPC16	3874	2294	3719	1928	2860	3142	3311	2649	837	334	493	244	276	341	349	293
ANAPC2	1046	624	1533	2448	1230	1536	1587	1078	352	195	288	266	172	290	310	249
ANAPC4	1387	892	955	684	937	887	959	798	146	154	149	154	198	146	162	110
ANAPC5	3506	3802	5462	7143	5641	5738	5367	6108	458	600	544	806	615	598	778	1032
ANAPC7	1181	1409	1453	1996	1595	1681	1545	1418	229	478	213	261	271	182	172	218
ANGEL1	648	544	902	1307	738	1277	1171	832	158	124	110	113	68	139	140	104
ANGEL2	1115	741	1064	962	1397	1068	993	878	129	127	178	109	206	156	151	105
ANK3	23	59	70	106	166	45	118	91	32	21	22	34	21	31	27	28
ANKFY1	1418	1010	2009	2061	1641	1792	2379	2256	205	158	184	225	170	212	219	256
ANKH	934	595	1667	2332	681	2543	3157	1030	92	94	92	224	90	215	305	160
ANKIB1	3404	2065	2969	1623	2299	1897	2231	1899	209	100	409	239	416	311	318	293
ANKLE1	224	222	221	687	310	540	362	192	70	41	28	86	47	99	45	41
ANKLE2	15034	10623	19174	12120	11293	17166	19487	3480	1979	1415	1486	1158	1433	1834	2435	635
ANKMY1	228	215	354	256	345	234	265	278	28	22	46	28	50	25	35	47
ANKMY2	228	221	293	121	277	161	143	203	70	59	59	57	70	34	32	50
ANKRA2	672	243	683	368	605	548	669	421	46	34	58	27	43	36	62	28
ANKRD10	4851	3307	4641	2180	3059	2816	4260	3481	488	248	649	329	326	331	394	576
ANKRD11	5529	4562	6553	3076	3450	5128	5326	2667	593	476	528	358	417	528	489	316
ANKRD12	2403	7462	3245	646	2027	971	1401	3511	289	307	686	208	574	250	420	413
ANKRD13A	6636	4778	10486	7902	8640	8022	13304	6212	798	692	949	850	1010	790	1877	605
ANKRD13C	1493	672	913	875	952	655	1055	938	77	40	70	94	102	58	140	86
ANKRD13D	575	420	724	558	481	477	511	406	107	70	188	121	134	157	170	140
ANKRD16	557	284	889	1709	985	743	997	627	36	20	61	36	53	49	65	39
ANKRD17	5461	3619	4839	5347	4602	4451	5374	4458	636	629	995	928	1077	883	1034	1183
ANKRD26	155	724	182	69	176	151	129	199	61	63	71	54	123	80	64	42
ANKRD27	2030	1256	2838	1802	2257	2158	2605	1566	255	182	287	254	288	243	291	268
ANKRD28	2801	4627	1659	1786	1067	1912	2315	976	136	395	144	208	173	218	255	123
ANKRD32	318	461	145	138	159	276	287	242	41	47	28	41	38	65	37	21
ANKRD33B	24968	12948	30056	16603	16938	21568	40099	5670	761	242	342	185	249	299	382	79
ANKRD36	322	818	221	171	198	189	183	249	41	59	77	79	83	136	116	60
ANKRD36B	230	559	118	125	88	128	97	145	35	36	46	52	52	78	64	32
ANKRD40	2314	1032	2226	2010	1945	2201	2951	1590	113	77	140	145	140	178	199	153
ANKRD44	6255	3358	6430	2176	2746	4095	4631	4232	1358	753	1708	782	797	1144	1226	905
ANKRD46	675	399	531	345	511	545	531	507	64	61	51	35	36	31	40	38
ANKRD49	1059	637	652	309	427	563	696	575	30	27	28	30	40	39	61	24
ANKRD52	2538	2527	3812	6858	4378	4293	4865	4368	382	439	375	500	357	284	343	507
ANKRD54	301	226	444	496	360	448	489	371	75	37	63	61	42	59	72	58
ANKS1A	515	539	921	961	599	651	857	1043	164	125	150	109	90	88	115	149
ANKZF1	843	587	1674	708	806	1327	1249	872	281	160	296	157	168	255	257	221
ANO6	1017	2058	340	502	1820	966	251	643	124	308	107	192	258	122	53	97
ANO9	534	249	1357	334	226	498	573	405	180	49	308	78	79	128	148	233
ANP32A	7987	4425	9776	4492	5286	7570	6987	6015	1237	1448	1213	794	962	1404	582	737
ANP32B	7246	7531	8345	8528	9601	9278	8338	6788	1237	1776	747	1087	1182	1080	760	703
ANP32E	9766	6668	5729	4040	7514	4595	4453	5042	864	1310	720	983	1340	816	492	577
ANXA1	45	808	170	305	556	206	162	444	43	183	62	141	92	68	37	140
