	A	B	C	D
MIR548D2	0	0	0	0
MIR548F1	0	0	0	0
MIR548F2	0	0	0	0
MIR548F3	0	0	0	0
MIR548F4	0	0	0	0
MIR548F5	0	0	0	0
MIR548G	0	1	0	0
MIR548H1	0	0	0	0
MIR548H2	0	0	0	0
MIR548H3	0	1	0	0
MIR548H4	0	0	0	0
MIR548H5	0	0	0	0
MIR548I1	1	0	0	0
MIR548I2	0	0	0	0
MIR548I3	0	0	0	0
MIR548I4	0	0	0	0
MIR548J	0	0	0	0
MIR548K	0	0	0	0
MIR548L	0	0	0	0
MIR548M	0	0	0	0
MIR548N	0	0	0	0
MIR548O	0	0	0	0
MIR548O2	0	0	0	0
MIR548P	0	0	0	0
MIR548Q	29	44	27	33
MIR548S	0	0	0	0
MIR548T	0	0	0	0
MIR548U	0	0	0	0
MIR548V	0	0	0	0
MIR548W	0	0	0	0
MIR548X	0	0	0	0
MIR548X2	0	0	0	0
MIR548Y	0	0	0	0
MIR548Z	0	0	0	0
MIR549A	0	0	0	0
MIR550A1	0	0	0	0
MIR550A2	0	0	0	0
MIR550A3	0	0	0	0
MIR550B1	1	0	0	0
MIR550B2	1	0	0	0
MIR551A	0	0	0	0
MIR551B	0	0	0	0
MIR552	0	0	0	0
MIR553	0	0	0	0
MIR554	0	0	0	0
MIR555	0	0	0	0
MIR556	0	0	0	0
MIR557	0	0	0	0
MIR5571	0	0	0	0
MIR5572	0	0	0	0
MIR5579	0	0	0	0
MIR558	0	0	0	0
MIR5580	0	0	0	0
MIR5581	0	0	0	0
MIR5582	0	0	0	0
MIR5583-1	0	0	0	0
MIR5583-2	0	0	0	0
MIR5584	0	0	0	0
MIR5585	0	0	0	0
MIR5586	0	0	0	0
MIR5587	0	0	0	0
MIR5588	0	0	0	0
MIR5589	0	0	0	0
MIR559	0	0	0	0
MIR5590	0	0	0	0
MIR5591	0	0	0	0
MIR561	0	0	0	0
MIR563	0	0	0	0
MIR564	0	0	0	0
MIR566	0	0	0	0
MIR567	0	0	0	0
MIR568	0	0	0	0
MIR5680	0	0	0	0
MIR5681A	0	0	0	0
MIR5681B	0	0	0	0
MIR5682	0	0	0	0
MIR5683	0	0	0	0
MIR5684	0	0	0	0
MIR5685	0	1	0	0
MIR5687	0	0	0	0
MIR5688	0	0	0	0
MIR5689	0	0	0	0
MIR569	0	0	0	0
MIR5690	0	0	0	0
MIR5691	0	0	0	0
MIR5692A1	0	0	0	0
MIR5692A2	0	0	0	0
MIR5692B	0	0	0	0
MIR5692C1	0	0	0	0
MIR5692C2	0	0	0	0
MIR5693	0	0	0	0
MIR5694	0	0	0	0
MIR5695	0	0	0	0
MIR5696	0	0	0	0
MIR5697	0	0	0	0
MIR5698	0	0	0	0
MIR5699	0	0	0	0
MIR570	1	0	0	0
MIR5700	0	1	0	0
MIR5701-1	0	0	0	0
MIR5701-2	0	0	0	0
MIR5701-3	0	0	0	0
MIR5702	0	0	0	0
MIR5703	0	0	0	0
MIR5704	0	0	0	0
MIR5705	0	0	0	0
MIR5706	0	0	0	0
MIR5707	0	0	0	0
MIR5708	0	0	0	0
MIR571	0	0	0	0
MIR572	0	0	0	0
MIR573	0	1	0	0
MIR5739	0	0	0	0
MIR574	0	0	0	0
MIR575	0	0	0	0
MIR577	0	0	0	0
MIR578	0	0	0	0
MIR5787	0	0	0	0
MIR579	0	0	0	0
MIR580	0	0	0	0
MIR581	0	0	0	0
MIR583	0	0	0	0
MIR585	0	0	0	0
MIR586	0	0	0	0
MIR587	0	0	0	0
MIR588	0	0	0	0
MIR589	0	0	0	0
MIR590	0	0	0	0
MIR591	0	0	0	0
MIR592	0	0	0	0
MIR593	0	0	0	0
MIR595	0	0	0	0
MIR596	0	0	0	0
MIR597	1	0	0	0
MIR598	0	0	0	0
MIR599	0	0	0	0
MIR600	0	0	0	0
MIR600HG	11	9	13	6
MIR601	0	0	0	0
MIR602	0	0	0	0
MIR603	0	0	0	0
MIR604	0	0	0	0
MIR605	0	0	0	0
MIR606	0	0	0	0
MIR6068	0	0	0	0
MIR6069	0	1	0	0
MIR607	0	0	0	0
MIR6070	0	0	0	0
MIR6071	2	0	0	0
MIR6072	0	0	0	0
MIR6073	0	0	0	0
MIR6074	0	0	0	0
MIR6075	0	0	0	0
MIR6076	0	0	0	0
MIR6077	0	0	0	0
MIR6078	0	0	0	0
MIR6079	0	0	0	0
MIR608	0	0	0	0
MIR6080	31	42	25	30
MIR6081	0	0	0	0
MIR6082	0	0	0	0
MIR6083	0	0	0	0
MIR6084	0	0	0	0
MIR6085	0	0	0	0
MIR6086	0	0	0	0
MIR6087	16	2	13	31
MIR6088	0	0	0	0
MIR6089	0	0	0	0
MIR609	0	0	0	0
MIR6090	2	0	0	0
MIR610	0	0	0	0
MIR611	0	0	0	1
MIR612	0	0	0	0
MIR6124	0	0	0	0
MIR6125	0	0	0	0
MIR6126	42	59	44	42
MIR6127	0	0	0	0
MIR6128	0	0	0	0
MIR6129	0	0	0	0
MIR613	0	0	0	0
MIR6130	0	0	0	0
MIR6131	0	0	0	0
MIR6132	0	0	0	0
MIR6133	0	0	0	0
MIR6134	0	0	0	0
MIR614	0	0	0	0
MIR615	0	0	0	0
MIR616	1	1	0	0
MIR6165	0	0	0	0
MIR617	0	0	0	0
MIR618	0	0	0	0
MIR619	0	0	0	0
MIR620	0	0	0	0
MIR621	0	0	0	0
MIR622	0	0	0	0
MIR623	0	0	0	0
MIR624	0	0	0	0
MIR625	0	0	0	0
MIR626	0	0	0	0
MIR627	0	0	0	0
MIR628	0	0	0	0
MIR629	0	0	0	0
MIR630	0	0	0	0
MIR631	5	5	2	3
MIR632	0	0	0	0
MIR633	0	0	0	0
MIR634	0	0	0	0
MIR635	3	4	9	11
MIR636	0	0	1	0
MIR637	0	0	0	0
MIR638	0	0	0	0
MIR639	0	0	0	0
MIR640	0	0	0	0
MIR641	0	0	0	0
MIR642A	0	0	0	0
MIR642B	0	0	0	0
MIR643	0	0	0	0
MIR644A	0	0	0	0
MIR645	0	0	0	0
MIR646	0	0	0	0
MIR646HG	2	0	3	2
MIR647	2	2	2	1
MIR648	0	0	0	0
MIR649	0	0	0	0
MIR6499	0	0	0	0
MIR650	0	0	0	0
MIR6500	0	0	0	0
MIR6501	0	0	0	0
MIR6502	0	0	0	0
MIR6503	0	0	0	0
MIR6504	0	0	0	0
MIR6505	1	0	0	0
MIR6506	0	0	0	0
MIR6507	0	0	0	0
MIR6508	0	0	0	0
MIR6509	0	0	0	0
MIR651	0	0	0	0
MIR6510	0	0	0	0
MIR6511A1	0	0	0	0
MIR6511A2	0	0	0	0
MIR6511A3	0	0	0	0
MIR6511A4	0	0	0	0
MIR6511B1	0	0	0	0
MIR6511B2	0	0	0	0
MIR6512	0	0	0	0
MIR6513	0	0	0	0
MIR6514	0	0	2	2
MIR6515	0	0	0	0
MIR6516	0	0	0	0
MIR652	0	0	0	0
MIR653	0	0	0	0
MIR654	0	0	0	0
MIR655	0	0	0	0
MIR656	0	0	0	0
MIR657	0	0	0	0
MIR658	0	0	0	0
MIR659	0	0	0	0
MIR660	0	0	0	0
MIR661	0	0	0	0
MIR662	0	0	0	0
MIR663A	0	0	0	0
MIR663AHG	0	0	1	0
MIR663B	0	0	0	0
MIR664A	0	0	0	0
MIR664B	0	0	0	0
MIR665	0	0	0	0
MIR668	0	0	0	0
MIR670	0	0	0	0
MIR670HG	0	0	0	0
MIR671	0	0	0	0
MIR6715A	0	0	0	0
MIR6715B	0	0	0	0
MIR6716	0	0	0	0
MIR6717	0	0	0	0
MIR6718	0	0	0	0
MIR6719	0	0	0	0
MIR6720	19	22	32	33
MIR6721	0	0	0	0
MIR6722	0	0	0	0
MIR6723	50882	43591	47473	43504
MIR6724-1	0	0	0	0
MIR6724-2	0	0	0	0
MIR6724-3	0	0	0	0
MIR6724-4	0	0	0	0
MIR6726	0	0	0	0
MIR6727	3	4	1	3
MIR6728	0	0	0	0
MIR6729	0	0	0	0
MIR6730	0	0	0	0
MIR6731	0	0	0	0
MIR6732	0	0	0	0
MIR6733	0	0	0	0
MIR6734	0	0	0	0
MIR6735	2	2	1	0
MIR6736	0	0	0	0
MIR6737	0	0	0	0
MIR6738	0	0	0	0
MIR6739	0	0	0	0
MIR6740	0	0	0	0
MIR6741	0	0	0	0
MIR6742	0	0	0	0
MIR6743	0	0	0	0
MIR6744	0	0	0	0
MIR6745	0	0	0	0
MIR6746	0	0	0	0
MIR6747	0	0	0	0
MIR6748	10	6	4	4
MIR6749	0	0	0	0
MIR675	0	0	0	0
MIR6750	0	0	0	0
MIR6751	0	0	0	0
MIR6752	0	0	0	0
MIR6753	0	0	0	0
MIR6754	0	0	0	0
MIR6755	0	0	0	0
MIR6756	0	0	0	0
MIR6757	0	0	0	0
MIR6758	1	0	0	1
MIR6759	4	5	3	2
MIR676	0	0	0	0
MIR6760	0	0	0	0
MIR6761	0	0	0	0
MIR6762	0	0	0	2
MIR6763	0	0	0	0
MIR6764	0	0	0	0
MIR6765	0	0	0	0
MIR6766	0	0	0	0
MIR6767	0	0	0	0
MIR6768	0	0	0	0
MIR6769A	0	0	0	0
MIR6769B	0	0	0	0
MIR6770-1	0	0	0	0
MIR6770-2	0	0	0	0
MIR6770-3	0	0	0	0
MIR6771	0	0	0	0
MIR6772	0	0	0	0
MIR6773	0	0	0	0
MIR6774	0	0	0	0
MIR6775	0	0	0	0
MIR6776	0	0	0	0
MIR6777	0	0	0	0
MIR6778	0	0	0	0
MIR6779	0	0	0	0
MIR6780A	0	0	0	0
MIR6780B	0	0	0	0
MIR6781	0	0	0	0
MIR6782	0	0	0	0
MIR6783	0	0	0	0
MIR6784	0	0	0	0
MIR6785	0	0	0	0
MIR6786	0	0	0	0
MIR6787	0	0	0	0
MIR6788	0	0	0	0
MIR6789	0	0	0	0
MIR6790	0	0	0	0
MIR6791	0	0	0	0
MIR6792	0	0	0	0
MIR6793	0	0	0	0
MIR6794	0	0	0	0
MIR6795	0	0	0	0
MIR6796	0	0	0	0
MIR6797	0	0	0	0
MIR6798	0	0	0	0
MIR6799	0	0	0	0
MIR6800	0	0	0	0
MIR6801	0	0	0	0
MIR6802	0	0	0	0
MIR6803	0	0	0	0
MIR6804	0	0	0	0
MIR6805	0	0	0	0
MIR6806	0	1	1	0
MIR6807	0	0	0	0
MIR6808	0	0	0	0
MIR6809	0	0	0	0
MIR6810	0	0	0	0
MIR6811	0	0	0	0
MIR6812	0	0	0	0
MIR6813	0	0	0	0
MIR6814	0	0	0	0
MIR6815	0	0	0	0
MIR6816	0	0	0	0
MIR6817	0	0	0	0
MIR6818	0	0	0	0
MIR6819	0	0	0	0
MIR6820	0	0	0	0
MIR6821	0	0	0	0
MIR6822	0	0	0	0
MIR6823	0	0	0	0
MIR6824	0	0	0	0
MIR6825	0	0	0	0
MIR6826	0	0	0	0
MIR6827	0	0	0	0
MIR6828	0	0	0	0
MIR6829	0	0	0	0
MIR6830	0	0	0	0
MIR6831	0	0	0	0
MIR6832	0	0	0	0
MIR6833	0	0	0	0
MIR6834	1	1	1	0
MIR6835	0	1	0	1
MIR6836	0	0	0	0
MIR6837	0	0	0	0
MIR6838	0	0	0	0
MIR6839	0	0	0	0
MIR6840	0	0	0	0
MIR6841	0	0	0	0
MIR6842	0	0	0	0
MIR6843	0	0	0	0
MIR6844	0	0	0	0
MIR6845	0	0	0	0
MIR6846	0	0	0	0
MIR6847	1	1	0	0
MIR6848	0	0	0	0
MIR6849	0	0	0	0
MIR6850	0	0	0	0
MIR6851	0	0	0	0
MIR6852	0	0	0	0
MIR6853	0	0	0	0
MIR6854	0	0	0	0
MIR6855	0	0	0	0
MIR6856	0	0	0	0
MIR6857	0	0	0	0
MIR6858	0	0	0	0
MIR6859-1	0	0	0	0
MIR6859-2	0	0	0	0
MIR6859-3	0	0	0	0
MIR6859-4	0	0	0	0
MIR6860	0	0	0	0
MIR6861	0	0	0	0
MIR6862-1	0	0	0	0
MIR6862-2	0	0	0	0
MIR6863	0	0	0	0
MIR6864	0	0	0	0
MIR6865	0	0	0	0
MIR6866	0	0	0	0
MIR6867	0	0	0	0
MIR6868	0	0	0	0
MIR6869	0	0	0	0
MIR6870	0	0	0	0
MIR6871	0	0	0	1
MIR6872	0	0	0	0
MIR6873	0	0	0	1
MIR6874	0	0	0	0
MIR6875	0	0	0	0
MIR6876	0	0	0	0
MIR6877	0	0	0	0
MIR6878	0	0	0	0
MIR6879	0	0	0	0
MIR6880	0	0	0	0
MIR6881	0	0	0	0
MIR6882	0	0	0	0
MIR6883	0	0	0	0
MIR6884	0	0	0	0
MIR6885	0	0	0	0
MIR6886	0	0	0	0
MIR6887	0	0	0	0
MIR6888	0	0	0	0
MIR6889	0	0	0	0
MIR6890	0	0	0	0
MIR6891	0	0	0	0
MIR6892	0	0	0	0
MIR6893	0	0	0	0
MIR6894	0	0	0	0
MIR6895	0	0	0	0
MIR7-1	0	0	0	0
MIR7-2	0	0	0	0
MIR7-3	0	0	0	0
MIR7-3HG	0	0	0	0
MIR708	0	0	0	0
MIR7106	0	0	0	0
MIR7107	0	0	0	0
MIR7108	0	0	0	0
MIR7109	0	0	0	0
MIR711	0	0	0	0
MIR7110	0	0	0	0
MIR7111	0	0	0	0
MIR7112	0	1	2	2
MIR7113	0	0	0	0
MIR7114	0	0	0	0
MIR7150	0	0	0	0
MIR7151	0	0	0	0
MIR7152	0	0	0	0
MIR7153	0	0	0	0
MIR7154	0	0	0	0
MIR7155	0	0	0	0
MIR7156	0	0	0	0
MIR7157	0	0	0	0
MIR7158	0	0	0	0
MIR7159	0	0	0	0
MIR7160	0	0	0	0
MIR7161	0	2	0	0
MIR7162	0	0	0	0
MIR718	0	0	0	0
MIR744	0	0	0	0
MIR7515	3	1	2	0
MIR7515HG	0	0	0	0
MIR758	0	0	0	0
MIR759	0	0	0	0
MIR760	0	0	0	0
MIR761	0	0	0	0
MIR762	51	85	34	96
MIR762HG	446	592	611	552
MIR764	0	0	0	0
MIR7641-1	0	0	0	0
MIR7641-2	8	2	4	4
MIR765	0	0	0	0
MIR766	0	0	0	0
MIR767	0	0	0	0
MIR769	0	0	0	0
MIR770	0	0	0	0
MIR7702	0	0	0	0
MIR7703	0	0	0	0
MIR7704	0	0	0	0
MIR7705	0	0	0	0
MIR7706	0	0	0	0
MIR7843	0	1	0	0
MIR7844	0	0	0	0
MIR7845	0	0	1	0
MIR7846	0	0	0	0
MIR7847	0	0	0	0
MIR7848	0	0	0	0
MIR7849	0	0	0	0
MIR7850	0	0	0	0
MIR7851	0	0	0	0
MIR7852	0	0	0	0
MIR7853	0	0	0	0
MIR7854	0	0	0	0
MIR7855	0	0	0	0
MIR7856	0	0	0	0
MIR7973-1	0	0	0	0
MIR7973-2	0	0	0	0
MIR7974	0	0	0	0
MIR7975	0	0	0	0
MIR7976	0	0	0	0
MIR7977	0	0	0	0
MIR7978	0	0	0	0
MIR802	0	0	0	0
MIR8052	0	0	0	0
MIR8053	0	0	0	0
MIR8054	0	0	0	0
MIR8055	3	0	1	1
MIR8056	0	0	0	0
MIR8057	0	0	0	0
MIR8058	0	0	0	0
MIR8059	0	0	0	0
MIR8060	0	0	0	0
MIR8061	0	0	0	0
MIR8062	0	0	0	0
MIR8063	0	0	0	0
MIR8064	0	0	0	0
MIR8065	0	0	0	0
MIR8066	0	0	0	0
MIR8067	0	0	0	0
MIR8068	0	0	0	1
MIR8069-1	0	0	0	0
MIR8069-2	0	0	0	0
MIR8070	0	0	0	0
MIR8071-1	0	0	0	0
MIR8071-2	0	0	0	0
MIR8072	1	0	1	0
MIR8073	0	0	0	0
MIR8074	0	0	0	0
MIR8075	0	0	0	0
MIR8076	0	0	0	0
MIR8077	0	0	0	0
MIR8078	0	1	0	0
MIR8079	0	0	0	0
MIR8080	0	0	0	0
MIR8081	0	0	0	0
MIR8082	0	0	0	0
MIR8083	0	0	0	0
MIR8084	0	0	0	0
MIR8085	0	0	0	0
MIR8086	0	0	0	0
MIR8087	0	0	0	0
MIR8088	0	0	0	0
MIR8089	0	0	0	0
MIR8485	0	0	0	0
MIR873	0	0	0	0
MIR874	0	0	0	0
MIR875	0	0	0	0
MIR876	0	0	0	0
MIR877	0	0	0	0
MIR885	0	0	0	0
MIR887	0	0	0	0
MIR888	0	0	0	0
MIR889	0	0	0	0
MIR890	0	0	0	0
MIR891A	0	0	0	0
MIR891B	0	0	0	0
MIR892A	0	0	0	0
MIR892B	0	0	0	0
MIR892C	0	0	0	0
MIR9-1	0	0	0	0
MIR9-2	0	0	0	0
MIR9-3	0	0	0	0
MIR920	0	0	1	0
MIR921	0	0	0	0
MIR922	0	0	0	0
MIR924	0	0	0	0
MIR92A1	0	0	0	0
MIR92A2	0	0	0	0
MIR92B	0	0	0	0
MIR93	2	2	0	1
MIR933	1	0	0	0
MIR934	0	0	0	0
MIR935	0	0	0	0
MIR936	0	0	0	0
MIR937	0	0	0	0
MIR938	0	0	0	0
MIR939	0	0	0	0
MIR940	0	0	0	0
MIR941-1	0	0	0	0
MIR941-2	0	0	0	0
MIR941-3	0	0	0	0
MIR941-4	0	0	0	0
MIR941-5	0	0	0	0
MIR942	0	0	0	0
MIR943	0	0	0	0
MIR944	0	0	0	0
MIR95	0	0	0	0
MIR9500	0	0	0	0
MIR96	0	0	0	0
MIR98	0	0	0	0
MIR99A	0	0	0	0
MIR99AHG	0	0	0	0
MIR99B	0	0	0	0
MIRLET7A1	0	0	0	0
MIRLET7A2	0	0	0	0
MIRLET7A3	0	0	0	0
MIRLET7B	0	0	0	0
MIRLET7BHG	13	16	11	12
MIRLET7C	0	0	0	0
MIRLET7D	0	0	0	0
MIRLET7DHG	92	97	93	102
MIRLET7E	0	0	0	0
MIRLET7F1	0	0	0	0
MIRLET7F2	0	0	0	0
MIRLET7G	0	0	0	0
MIRLET7I	0	0	0	0
MIS12	17	19	7	21
MIS18A	3	4	5	5
MIS18BP1	15	8	3	8
MISP	0	0	0	0
MITD1	2	0	1	3
MITF	2	1	1	0
MIXL1	1	0	2	0
MKI67	76	84	48	52
MKKS	11	9	8	17
MKL1	11	9	3	4
MKL2	0	1	0	1
MKLN1	43	33	22	22
MKLN1-AS	3	3	1	3
MKNK1	5	11	3	9
MKNK1-AS1	140	142	115	127
MKNK2	8	6	3	7
MKRN1	29	18	18	21
MKRN2	326	306	363	359
MKRN2OS	28	16	22	18
MKRN3	0	2	0	0
MKRN7P	0	0	0	0
MKRN9P	1	0	0	0
MKS1	4	3	0	5
MKX	0	0	0	1
MKX-AS1	0	0	0	0
MLANA	25	35	23	29
MLC1	0	0	0	0
MLEC	113	158	73	107
MLF1	1	2	3	0
MLF2	32	56	26	42
MLH1	47	38	33	23
MLH3	10	11	3	7
MLIP	0	0	0	0
MLIP-IT1	0	0	0	0
MLK7-AS1	296	283	317	284
MLKL	0	2	2	0
MLLT1	14	21	9	12
MLLT10	16	16	9	15
MLLT10P1	26	27	30	25
MLLT11	14	13	3	10
MLLT3	2	5	2	3
MLLT4	27	24	8	22
MLLT4-AS1	3	4	2	1
MLLT6	50	65	55	60
MLN	0	1	0	0
MLNR	0	0	0	0
MLPH	13	14	6	5
MLST8	33	42	20	38
MLX	1848	2152	1628	1682
MLXIP	4	6	7	4
MLXIPL	0	0	0	0
MLYCD	0	0	1	1
MMAA	0	2	0	1
MMAB	14	18	7	12
MMACHC	293	276	290	306
MMADHC	14	22	10	15
MMD	1	1	0	0
MMD2	0	0	0	0
MME	2	10	9	8
MMEL1	384	373	419	342
MMGT1	7	2	3	3
MMP1	0	0	0	0
MMP10	0	0	0	0
MMP11	0	0	0	0
MMP12	0	0	0	0
MMP13	0	0	0	0
MMP14	219	241	173	197
MMP15	0	0	0	0
MMP16	4	11	3	3
MMP17	2	3	0	1
MMP19	414	509	439	364
MMP2	65	53	28	48
MMP20	1	0	0	0
MMP21	0	0	1	1
MMP23A	0	2	0	0
MMP23B	0	0	0	0
MMP24	262	363	258	231
MMP24-AS1	7	11	7	3
MMP25	21	47	25	32
MMP25-AS1	0	0	1	0
MMP26	0	0	0	0
MMP27	0	0	0	0
MMP28	0	0	0	0
MMP3	0	0	0	0
MMP7	0	0	0	0
MMP8	0	0	0	0
MMP9	0	1	1	1
MMRN1	0	0	0	0
MMRN2	7	3	5	9
MMS19	94	94	59	59
MMS22L	12	11	5	12
MN1	0	0	0	0
MNAT1	4	2	2	3
MND1	2	1	4	3
MNDA	0	0	0	0
MNS1	33	11	18	13
MNT	14	6	4	7
MNX1	0	1	1	0
MNX1-AS1	0	0	0	0
MOAP1	8	18	19	18
MOB1A	11	10	8	14
MOB1B	8	11	5	4
MOB2	9	5	3	0
MOB3A	10	18	7	11
MOB3B	0	1	0	0
MOB3C	3	5	6	3
MOB4	0	1	0	0
MOBP	3	0	0	3
MOCOS	0	2	0	2
MOCS1	86	96	82	70
MOCS2	13	23	12	12
MOCS3	19	15	8	23
MOG	14	21	10	8
MOGAT1	0	0	0	0
MOGAT2	0	0	0	0
MOGAT3	2	3	0	3
MOGS	6	20	14	16
MOK	8	5	3	14
MON1A	1	1	2	0
MON1B	5	5	4	2
MON2	6	8	5	1
MORC1	0	0	0	0
MORC2	10	21	5	9
MORC2-AS1	235	215	212	212
MORC3	4	6	3	4
MORC4	5	6	2	7
MORF4L1	113	191	112	120
MORF4L2	56	134	44	81
MORF4L2-AS1	3	9	0	9
MORN1	1	6	3	6
MORN2	1	1	1	1
MORN3	2	1	0	0
MORN4	13	9	9	13
MORN5	0	0	0	0
MOS	0	0	0	0
MOSPD1	0	0	1	1
MOSPD2	1	5	3	1
MOSPD3	1	2	0	0
MOV10	21	19	16	14
MOV10L1	0	0	0	0
MOXD1	0	0	0	0
MOXD2P	0	0	0	0
MPC1	0	1	1	1
MPC1L	0	0	0	0
MPC2	20	14	19	14
MPDU1	17	26	10	8
MPDZ	8	12	3	6
MPEG1	1	1	0	0
MPG	36	26	30	39
MPHOSPH10	19	12	13	13
MPHOSPH6	6	9	4	2
MPHOSPH8	84	74	54	70
MPHOSPH9	12	15	6	7
MPI	11	16	10	12
MPL	5	12	8	3
MPLKIP	2	0	3	2
MPND	15	7	8	16
MPO	0	0	0	0
MPP1	1	4	0	4
MPP2	5	5	2	4
MPP3	1	0	0	0
MPP4	4	2	2	1
MPP5	156	145	141	138
MPP6	1	3	2	8
MPP7	41	24	15	31
MPPE1	16	27	12	22
MPPED1	0	0	0	0
MPPED2	6	4	8	3
MPRIP	82	109	50	57
MPST	0	0	1	0
MPV17	1	5	1	2
MPV17L	22	12	15	19
MPV17L2	0	0	1	1
MPZ	0	0	0	0
MPZL1	3	4	3	5
MPZL2	0	0	0	0
MPZL3	0	0	0	0
MR1	31	36	21	31
MRAP	392	336	406	390
MRAP2	0	0	0	0
MRAS	6	11	3	7
MRC1	0	0	0	0
MRC2	4	7	6	3
MRE11A	7	7	5	7
MREG	16	25	9	18
MRFAP1	89	79	44	66
MRFAP1L1	6	13	6	6
MRGBP	10	19	8	7
MRGPRD	0	0	1	0
MRGPRE	0	0	0	0
MRGPRF	0	0	0	0
MRGPRF-AS1	0	0	0	0
MRGPRG	0	0	0	0
MRGPRG-AS1	0	0	0	0
MRGPRX1	0	0	0	0
MRGPRX2	0	0	0	0
MRGPRX3	21	23	16	17
MRGPRX4	0	0	0	0
MRI1	34	34	20	27
MRLN	0	0	0	0
MRM1	1	3	3	2
MRO	24	33	26	25
MROH1	33	47	41	28
MROH2A	9	3	4	4
MROH2B	0	0	0	0
MROH5	0	0	0	0
MROH6	0	2	1	0
MROH7	0	0	0	0
MROH7-TTC4	6	13	7	7
MROH8	268	289	253	277
MROH9	0	0	0	0
MRPL1	2	1	1	2
MRPL10	11	31	13	16
MRPL11	1	4	0	4
MRPL12	11	14	11	5
MRPL13	2	1	1	3
MRPL14	1	0	2	0
MRPL15	11	8	4	7
MRPL16	11	28	10	6
MRPL17	0	3	4	2
MRPL18	5	12	7	6
MRPL19	18	23	16	16
MRPL2	1	3	0	2
MRPL20	53	74	44	63
MRPL21	2	4	0	3
MRPL22	9	13	10	8
MRPL23	7	2	3	3
MRPL23-AS1	0	1	0	1
MRPL24	14	20	15	8
MRPL27	0	6	4	3
MRPL28	3	3	4	2
MRPL3	11	26	12	20
MRPL30	62	81	62	61
MRPL32	4	7	6	5
MRPL33	1	6	3	1
MRPL34	2	6	2	6
MRPL35	14	10	7	12
MRPL36	2	1	1	0
MRPL37	6	5	4	6
MRPL38	3	5	5	5
MRPL39	2	6	1	4
MRPL4	4	3	2	0
MRPL40	2	2	4	1
MRPL41	7	6	5	5
MRPL42	6	5	4	3
MRPL42P5	0	0	0	0
MRPL43	66	58	45	36
MRPL44	9	13	5	10
MRPL45	8	10	4	5
MRPL45P2	3	0	3	4
MRPL46	1	2	1	0
MRPL47	19	21	12	10
MRPL48	5	11	3	6
MRPL49	83	72	95	77
MRPL50	3	5	1	4
MRPL51	42	77	45	45
MRPL52	1	12	7	4
MRPL53	1	1	2	5
MRPL54	1	0	0	3
MRPL55	0	3	3	5
MRPL57	199	252	191	205
MRPL9	16	45	9	19
MRPS10	18	32	17	25
MRPS11	5	8	3	5
MRPS12	1	2	1	1
MRPS14	5	2	8	3
MRPS15	4	6	3	6
MRPS16	26	30	9	23
MRPS17	1	0	0	1
MRPS18A	2	1	4	2
MRPS18B	8	11	6	4
MRPS18C	205	104	87	144
MRPS2	7	1	0	2
MRPS21	10	25	10	6
MRPS22	84	70	63	59
MRPS23	8	28	3	10
MRPS24	0	0	0	0
MRPS25	695	361	437	577
MRPS26	14	11	6	12
MRPS27	10	18	6	9
MRPS28	2	4	1	0
MRPS30	4	6	3	8
MRPS31	0	0	0	1
MRPS31P5	10	9	4	9
MRPS33	3	16	7	9
MRPS34	8	15	9	12
MRPS35	2	4	1	1
MRPS36	1	2	0	3
MRPS5	34	48	29	27
MRPS6	1	3	1	0
MRPS7	76	74	76	81
MRPS9	4	11	6	11
MRRF	31	46	14	41
MRS2	6	12	3	7
MRS2P2	4	8	9	5
MRTO4	23	20	8	17
MRVI1	5	1	0	2
MRVI1-AS1	0	0	0	0
MS4A1	0	0	0	0
MS4A10	14	16	8	7
MS4A12	0	0	0	0
MS4A13	0	0	0	0
MS4A14	0	0	0	0
MS4A15	0	0	0	0
MS4A18	0	0	0	0
MS4A2	7	4	5	9
MS4A3	0	0	0	0
MS4A4A	0	0	0	0
MS4A5	0	0	0	0
MS4A6A	0	0	0	0
MS4A6E	0	0	0	0
MS4A7	14	18	13	11
MS4A8	0	0	0	0
MSANTD1	0	0	0	0
MSANTD2	3	4	2	0
MSANTD3	4	7	5	2
MSANTD3-TMEFF1	0	0	0	0
MSANTD4	8	8	1	4
MSC	43	47	49	56
MSC-AS1	34	44	28	33
MSGN1	0	0	0	0
MSH2	2	9	4	8
MSH3	60	86	63	86
MSH4	0	0	0	0
MSH5	0	0	0	0
MSH5-SAPCD1	0	0	0	0
MSH6	136	173	118	170
MSI1	0	0	0	0
MSI2	0	2	0	2
MSL1	20	31	20	17
MSL2	11	8	6	7
MSL3	5	10	2	8
MSL3P1	1	0	0	0
MSLN	0	0	0	0
MSMB	0	0	0	0
MSMO1	16	20	26	14
MSMP	713	763	864	775
MSN	155	222	83	125
MSR1	2	0	0	2
MSRA	7	6	2	4
MSRB1	1	0	0	0
MSRB2	1	3	1	0
MSRB3	6	11	5	6
MSS51	10	8	10	12
MST1	19	31	18	26
MST1L	6	3	2	4
MST1P2	5	9	6	9
MST1R	0	0	0	0
MSTN	0	0	0	0
MSTO1	10	12	5	13
MSTO2P	410	489	418	426
MSX1	1	0	0	0
MSX2	0	0	0	0
MSX2P1	0	0	0	0
MT1A	0	0	0	0
MT1B	0	0	0	0
MT1DP	0	0	0	0
MT1E	1	0	0	1
MT1F	1	0	0	1
