	A	B	C	D
AGO3	1	3	2	1
AGO4	2	6	1	4
AGPAT1	52	32	29	27
AGPAT2	5	1	1	3
AGPAT3	10	15	2	10
AGPAT4	9	19	10	11
AGPAT4-IT1	3	2	2	0
AGPAT5	1	9	4	1
AGPAT6	23	28	16	27
AGPAT9	14	30	11	14
AGPS	31	63	36	54
AGR2	1	0	0	0
AGR3	0	0	0	0
AGRN	18	30	19	23
AGRP	5	3	4	1
AGT	0	0	0	0
AGTPBP1	3	3	1	4
AGTR1	1	0	0	0
AGTR2	0	0	0	0
AGTRAP	0	0	1	0
AGXT	0	0	0	0
AGXT2	0	0	0	0
AHCTF1	25	36	31	36
AHCTF1P1	0	0	0	0
AHCY	17	29	9	16
AHCYL1	16	14	11	12
AHCYL2	23	30	22	23
AHDC1	2	4	2	1
AHI1	8	5	1	7
AHNAK	275	424	174	234
AHNAK2	39	26	22	29
AHR	20	17	14	20
AHRR	6	4	3	5
AHSA1	30	73	54	47
AHSA2	63	48	35	43
AHSG	0	0	0	0
AHSP	0	0	0	0
AICDA	13	12	4	7
AIDA	10	16	13	8
AIF1	1	0	0	0
AIF1L	3	10	4	0
AIFM1	22	31	17	18
AIFM2	11	13	5	9
AIFM3	2	1	0	1
AIG1	1	0	1	0
AIM1	127	118	79	89
AIM1L	0	0	0	0
AIM2	2	5	1	4
AIMP1	41	62	42	45
AIMP2	114	121	89	117
AIP	10	17	9	17
AIPL1	10	11	17	15
AIRE	6	2	0	3
AIRN	2	0	0	0
AJAP1	1	0	0	0
AJUBA	15	17	16	8
AK1	15	19	13	11
AK2	65	105	81	83
AK3	27	15	15	18
AK4	6	9	7	12
AK5	1	0	4	1
AK6	4	4	2	4
AK7	0	0	0	0
AK8	4	3	1	4
AK9	0	1	2	0
AKAP1	23	27	19	19
AKAP10	1	1	1	0
AKAP11	8	9	5	3
AKAP12	227	427	119	154
AKAP13	51	50	29	32
AKAP14	3	0	0	2
AKAP17A	38	20	23	37
AKAP2	0	0	0	0
AKAP3	1	0	0	1
AKAP4	0	0	0	0
AKAP5	46	39	39	36
AKAP6	0	0	0	0
AKAP7	0	0	0	1
AKAP8	34	39	20	22
AKAP8L	19	12	7	11
AKAP9	35	31	22	22
AKIP1	14	16	14	6
AKIRIN1	9	19	9	11
AKIRIN2	37	31	13	26
AKNA	28	17	14	22
AKNAD1	4	1	0	0
AKR1A1	1	5	0	6
AKR1B1	5	15	12	7
AKR1B10	7	8	5	8
AKR1B15	0	0	0	0
AKR1C1	0	1	0	0
AKR1C2	2	1	0	0
AKR1C3	0	0	1	0
AKR1C4	1	1	0	0
AKR1C6P	1	0	0	0
AKR1C8P	0	0	0	0
AKR1D1	6	7	4	8
AKR1E2	0	0	0	0
AKR7A2	5	12	9	5
AKR7A2P1	7	4	5	6
AKR7A3	0	0	0	0
AKR7L	1	3	2	1
AKT1	33	49	19	45
AKT1S1	85	97	87	109
AKT2	23	17	8	16
AKT3	74	77	71	74
AKTIP	554	232	277	261
ALAD	19	25	11	18
ALAS1	10	18	9	15
ALAS2	3	3	1	5
ALB	0	0	0	0
ALCAM	15	29	11	17
ALDH16A1	5	13	4	15
ALDH18A1	21	13	10	17
ALDH1A1	0	0	0	1
ALDH1A2	0	0	0	0
ALDH1A3	84	112	51	101
ALDH1B1	5	21	3	7
ALDH1L1	0	0	0	0
ALDH1L1-AS1	0	0	0	0
ALDH1L1-AS2	0	0	0	0
ALDH1L2	11	15	8	11
ALDH2	0	0	1	0
ALDH3A1	0	0	0	0
ALDH3A2	10	24	8	7
ALDH3B1	24	27	37	25
ALDH3B2	0	0	0	0
ALDH4A1	0	3	1	0
ALDH5A1	7	11	8	10
ALDH6A1	2	5	2	2
ALDH7A1	26	51	35	27
ALDH8A1	5	3	1	6
ALDH9A1	22	42	25	26
ALDOA	19	29	30	20
ALDOB	4	3	2	1
ALDOC	3	5	2	1
ALG1	260	287	302	295
ALG10	0	0	0	0
ALG10B	4	3	2	3
ALG11	0	0	0	1
ALG12	9	18	8	4
ALG13	5	12	11	2
ALG14	0	0	1	0
ALG1L	25	36	26	37
ALG1L2	14	15	19	13
ALG1L9P	111	109	107	109
ALG2	0	2	0	1
ALG3	0	8	3	5
ALG5	0	0	3	3
ALG6	10	1	4	5
ALG8	5	3	0	0
ALG9	9	14	11	7
ALK	9	11	5	5
ALKBH1	0	1	1	0
ALKBH2	5	8	2	4
ALKBH3	7	7	6	3
ALKBH3-AS1	15	11	17	14
ALKBH4	25	26	26	20
ALKBH5	4	11	5	5
ALKBH6	1	2	1	4
ALKBH7	3	2	0	3
ALKBH8	1	2	1	1
ALLC	0	0	0	0
ALMS1	4	8	5	4
ALMS1-IT1	0	1	1	0
ALMS1P	0	0	0	0
ALOX12	62	51	63	45
ALOX12-AS1	0	0	0	0
ALOX12B	3	5	9	8
ALOX12P2	5	1	2	5
ALOX15	1	2	1	3
ALOX15B	0	0	0	0
ALOX15P1	0	0	0	0
ALOX5	0	0	1	0
ALOX5AP	0	0	0	0
ALOXE3	0	0	0	0
ALPI	0	0	0	0
ALPK1	7	5	6	10
ALPK2	0	0	0	0
ALPK3	0	2	1	1
ALPL	0	0	0	0
ALPP	1	2	3	2
ALPPL2	0	0	0	0
ALS2	14	12	8	10
ALS2CL	0	0	0	1
ALS2CR11	0	0	0	0
ALS2CR12	0	0	0	0
ALX1	0	0	0	0
ALX3	150	195	165	156
ALX4	7	6	3	4
ALYREF	13	10	6	6
AMACR	0	0	0	0
AMBN	0	0	0	0
AMBP	1	0	1	0
AMBRA1	7	13	6	5
AMD1	12	19	8	13
AMDHD1	0	1	1	1
AMDHD2	1	2	1	1
AMELX	0	1	1	0
AMELY	0	0	0	0
AMER1	7	2	4	4
AMER2	0	0	0	0
AMER3	5	7	4	6
AMFR	9	5	6	6
AMH	0	0	0	0
AMHR2	0	0	0	0
AMICA1	0	0	0	0
AMIGO1	0	2	0	0
AMIGO2	5	6	2	10
AMIGO3	57	77	36	42
AMMECR1	6	2	1	2
AMMECR1L	7	19	13	12
AMN	6	2	1	2
AMN1	4	3	1	3
AMOT	5	6	1	2
AMOTL1	21	14	13	18
AMOTL2	10	17	6	13
AMPD1	0	0	0	0
AMPD2	2	2	4	4
AMPD3	2	3	3	1
AMPH	0	1	1	1
AMT	14	14	20	16
