geneIDs,disper,pval,padj,TEB,TEA,"log2FC_TE(A vs
B)
",fold change
ANKRD36,0.105100789751873,3.17912364566908E-06,0.001234656019482,0.07253337000805,0.468949064030134,2.69271444431442,6.46528713581195
ZBTB41,0.146393923969135,3.14767768683222E-06,0.001234656019482,0.01424754120918,0.151605321946858,3.41153552809616,10.6408059974012
RB1CC1,0.079474122024565,3.70718325459762E-06,0.001357464588312,0.052521405169578,0.252360024114665,2.26450597371262,4.8048985608793
RSC1A1,0.112057899796317,3.65000780766511E-06,0.001357464588312,0.065849508108631,0.480127191204813,2.86617207414366,7.29127984392471
NPHP3,0.084931739221688,4.12391095094833E-06,0.001428433587766,0.158782427635929,0.934573689386911,2.55725716321297,5.88587605884065
ANKRD36B,0.10336781308886,4.01525374238432E-06,0.001428433587766,0.073852806180862,0.477113973459492,2.69160929467826,6.46033641959473
RNF219,0.036039202908705,4.75544183453636E-06,0.0016038353303,0.148209539337482,0.432927713736105,1.54648784914286,2.92105161159907
ATAD2B,0.033269957576231,4.95644725728717E-06,0.001628764821779,0.081782313631394,0.226885868074219,1.47210596882058,2.77426570611382
BDP1,0.102251242868998,5.46745670082505E-06,0.001747074158863,0.042802020339288,0.244483168277169,2.51398434322813,5.71195392972501
PIK3C2A,0.074008840744279,5.58911052694899E-06,0.001747074158863,0.07135418710014,0.314717296395003,2.14098647381165,4.41063529955606
APC,0.086614928839368,6.13612208655301E-06,0.001872393825268,0.087830616625926,0.433853413020053,2.30441184101595,4.93966033356967
NEMF,0.051008741706473,6.47859363156478E-06,0.001930922232143,0.143602618747978,0.480150019507118,1.74140317772288,3.34360211320228
FAM208B,0.072206979893944,7.71509197261544E-06,0.002247195880024,0.076281982088641,0.318996176726954,2.06412489710896,4.18180241247893
RFX7,0.051075901206332,8.08474085955968E-06,0.002302534196803,0.061434126964196,0.208868026600185,1.76547945467792,3.39986969655991
SLTM,0.031064346578443,8.31568729553478E-06,0.00231682279086,0.075663024747522,0.191142055933604,1.33698488484479,2.52622805619285
FAM179B,0.09262645232172,9.70916806908306E-06,0.002501581357519,0.058642146772854,0.303274854225474,2.37061605933914,5.17161923488552
KIAA2018,0.102679715627121,9.4331493596389E-06,0.002501581357519,0.029927279171424,0.172369646073751,2.52597271350716,5.75961633820484
HECTD1,0.025946602394969,9.57307725513168E-06,0.002501581357519,0.135470709776464,0.313059968932837,1.20845808332467,2.31090520932095
ICE1,0.053633993080753,9.75960267446396E-06,0.002501581357519,0.070562953074866,0.239178020815396,1.76110197527527,3.38956931920968
DHX8,0.016270987212476,1.01910056310439E-05,0.002511690926297,0.370900759270625,0.188868612872089,-0.973650253793992,0.509216031920503
NKTR,0.096612095023797,1.00360206720662E-05,0.002511690926297,0.053990880673287,0.279388326689331,2.37148408915991,5.17473179183688
RC3H2,0.069523798313151,1.10156443772214E-05,0.00266370751582,0.047631690470607,0.195794623300441,2.03934749112542,4.1105957266258
RSF1,0.052736933350829,1.31382504453548E-05,0.003118144772364,0.132767220101954,0.435552352761229,1.71394714628388,3.28057145752365
SLMAP,0.032037719819231,1.41888639405563E-05,0.003287803160406,0.04661730075212,0.122669677534651,1.39584129957936,2.63141957074968
ARID2,0.01974333655891,1.43661811004003E-05,0.003287803160406,0.146395624965423,0.306141675259774,1.06432701390985,2.0911941550991
ETAA1,0.072315462836789,1.51816699343055E-05,0.00341347862944,0.043587449748077,0.193552876110519,2.15074304476858,4.44056436495373
STAG2,0.042773352428445,1.62838993977843E-05,0.003568910359964,0.117192260310297,0.333574118619357,1.50913006368922,2.84638352171151
RNPC3,0.05943656688173,1.65749500041779E-05,0.003568910359964,0.086982086471879,0.326205579030934,1.90699123559924,3.75026160284621
UHRF1BP1L,0.098230411402934,1.69868548656193E-05,0.003568910359964,0.0682653497979,0.342514862578381,2.32694120692503,5.01740434338062
LCOR,0.084092107105151,1.69502837593649E-05,0.003568910359964,0.017810252793006,0.084285929040481,2.24258380946218,4.73243867002152
RASA2,0.067672180912115,1.74058728923399E-05,0.003597962370778,0.064985898888667,0.24816023042428,1.93307332028696,3.81867812353304
LTN1,0.059945074912548,1.79521943118877E-05,0.003651989242875,0.117454789043656,0.410131426954282,1.80398075835181,3.49182379274329
BBX,0.032277145702119,1.85540341913759E-05,0.003715445346823,0.071992724851336,0.180666019912517,1.32740215724818,2.50950384619543
CCNJ,0.108414939587896,1.95767897959165E-05,0.003801456636734,0.01574427988652,0.110354391668732,2.80924436635999,7.0091736468188
EVI5,0.071185198227638,1.94511830043931E-05,0.003801456636734,0.057713734460443,0.242263712830921,2.06959173763196,4.19767868248015
ZNF518A,0.125108358178007,2.03036891233133E-05,0.00388376238514,0.042661395610976,0.264109665061445,2.63013403030472,6.19083509292175
