,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
EPHA10,-0.158349376014044,0.915988528890856,-0.153903035814603,0.806901675134935,-0.158349376014044,0.915988528890856,0.984614554757499
EPHA2,-0.523388085530793,0.420079527895771,-0.509078155236381,0.440950003372337,-0.509078155236381,0.440950003372337,0.735310761072991
EPHA4,-1.82790621580479,0.00319804386233,-1.8045586436648,0.038716268920151,-1.8045586436648,0.038716268920151,0.186269324913053
EPHA8,1.3566519142177,0.196586411261846,0.403458078480599,0.806203081634583,0.403458078480599,0.806203081634583,0.946578650146974
EPHB1,0.308920508300783,0.789281251050179,0,0.85550737248682,0,0.85550737248682,0.965692038464242
EPHB2,-0.472309716419947,0.621479606507469,-0.540626774379447,0.600504523747602,-0.472309716419947,0.621479606507469,0.855674370038065
EPHB3,0.257686533119351,0.74204888313728,0.260792383015788,0.813378558276545,0.260792383015788,0.813378558276545,0.948425641724309
EPHB4,0.24650726664159,0.588844798194377,0.252556228376069,0.77578084932636,0.252556228376069,0.77578084932636,0.934219057228842
EPHB6,0.285548194771354,0.68414168520242,0.304865496645141,0.834665823101552,0.304865496645141,0.834665823101552,0.955506251865056
EPHX2,-1.38806457462907,0.231255982361008,-1.42179074039437,0.285213114548216,-1.42179074039437,0.285213114548216,0.592419244129477
EPM2A,0.63653095821197,0.09341782508633,0.638616254976207,0.351095886521978,0.638616254976207,0.351095886521978,0.662863486983946
EPN2,0.610590414980515,0.175528634672976,0.620595984997605,0.229108252403257,0.620595984997605,0.229108252403257,0.527223533432355
EPN3,-1.48434741753907,0.094682443835462,-1.45560086090244,0.236220863276677,-1.45560086090244,0.236220863276677,0.537154052124024
EPOR,-0.934738012630952,0.009738809552435,-0.92868545981607,0.066053348503657,-0.92868545981607,0.066053348503657,0.259493857052841
EPPK1,-1.36128738911463,0.02828235432366,-1.34334344740255,0.060522680790628,-1.34334344740255,0.060522680790628,0.247825795448847
EPS8,1.0177260145672,0.181410089921222,0.674398336226742,0.342139355756545,0.674398336226742,0.342139355756545,0.653789536783559
ERBB2,0.260646748591042,0.483785984647051,0.2687416292223,0.570032197696977,0.2687416292223,0.570032197696977,0.824994655092393
ERBB3,-3.31491105617224,1.89344588583087E-06,-3.15274768840401,0.000530131067113,-3.15274768840401,0.000530131067113,0.010000976993375
ERCC5,0.298962263599112,0.537088078982349,0.216696071578895,0.495949115889602,0.298962263599112,0.537088078982349,0.804069725876996
ERCC6L,1.17467169389101,0.019429063072969,0.934844408397836,0.169277309282012,0.934844408397836,0.169277309282012,0.446021269961574
ERCC8,-0.13810677280789,0.615864942316484,-0.135425683045048,0.729433409906839,-0.135425683045048,0.729433409906839,0.910889085883858
EREG,0.380196861249676,0.693553201110252,0,0.946465733949853,0,0.946465733949853,0.994695680299854
ERI2,0.792761261325905,0.057501909802834,0.795995848888372,0.175624335094474,0.795995848888372,0.175624335094474,0.456340317635779
ERMAP,0.761493902679282,0.044532320846576,0.773210458112737,0.240654384313707,0.773210458112737,0.240654384313707,0.542710917448494
ERRFI1,-1.15732004971176,0.05092492262242,-1.13912832997044,0.204393763772798,-1.13912832997044,0.204393763772798,0.494775195616336
ERV3-1,1.10250812785317,0.022146420916293,1.10713641832671,0.095868972744518,1.10713641832671,0.095868972744518,0.321629779225808
ESAM,0.357390668200022,0.632812969317308,0.277427065879732,0.891458362242197,0.277427065879732,0.891458362242197,0.976959394259634
ESCO2,0.582572793695172,0.421775174120929,0.478412505273831,0.546748756792968,0.478412505273831,0.546748756792968,0.811638341398215
