	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
ZNF439	464	143	277	132	202	243	234	197
ZNF44	433	299	317	180	353	221	221	311
ZNF440	370	245	197	148	141	204	341	233
ZNF445	847	681	1201	895	925	1096	1156	1005
ZNF446	224	116	360	317	249	252	264	150
ZNF45	609	355	562	441	441	424	572	538
ZNF451	2678	1847	1823	877	1530	1596	1898	1582
ZNF460	1110	326	1168	1016	1030	1293	1448	1003
ZNF473	354	323	582	463	382	595	737	433
ZNF48	479	334	609	625	542	540	565	450
ZNF480	485	447	479	390	179	435	506	494
ZNF484	293	179	198	84	114	218	195	270
ZNF490	449	182	498	339	465	439	381	366
ZNF493	251	396	263	126	136	200	165	283
ZNF496	539	360	1170	668	381	1383	977	538
ZNF506	1816	1101	1483	583	660	862	1499	702
ZNF507	1510	889	903	558	611	849	888	1136
ZNF510	591	536	599	176	354	329	442	428
ZNF511	552	421	735	709	478	656	656	705
ZNF512	1161	1174	1997	748	907	696	1201	1761
ZNF512B	453	344	820	602	294	710	663	846
ZNF513	455	359	549	996	543	516	525	426
ZNF518A	1218	2314	824	265	518	507	654	741
ZNF518B	836	837	981	212	751	743	858	451
ZNF526	771	466	1013	1242	866	981	1201	949
ZNF529	1242	976	641	489	533	788	1047	833
ZNF543	304	151	396	330	317	319	463	317
ZNF548	522	279	541	384	509	538	700	606
ZNF549	599	267	581	267	324	357	568	439
ZNF550	872	546	958	442	400	637	859	546
ZNF551	625	420	764	458	448	721	938	692
ZNF557	774	337	691	681	448	895	592	628
ZNF561	735	474	664	429	513	585	898	749
ZNF562	1540	809	1322	679	996	1417	1515	1171
ZNF563	676	148	424	138	176	225	395	330
ZNF564	522	304	366	223	299	245	338	440
ZNF566	655	243	371	147	186	250	423	386
ZNF567	366	309	249	126	117	213	195	240
ZNF573	134	62	126	64	72	95	116	145
ZNF574	602	377	809	1402	652	656	752	688
ZNF581	1038	487	1098	973	1231	892	1010	541
ZNF585A	474	189	495	168	204	276	362	310
ZNF585B	614	234	508	190	212	295	482	448
