	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
NME6	866	550	973	1081	912	757	1021	888
NME7	122	62	134	125	211	106	89	50
NMI	879	1243	1172	495	690	1183	1044	1023
NMNAT1	465	211	428	264	315	373	359	234
NMRAL1	351	292	592	653	377	800	509	942
NMT1	7874	3747	14366	9439	6730	9744	11702	12794
NMT2	518	198	639	1424	816	1006	623	1007
NNT	1233	1293	1478	1163	2089	1536	1296	1743
NOA1	1117	907	1185	1236	1015	1330	1247	962
NOB1	1761	1401	2227	2576	2074	2531	2535	2037
NOC2L	1539	1264	1639	2669	1222	1862	2309	1720
NOC3L	2635	1908	1626	852	1029	1746	1893	1161
NOC4L	314	263	261	637	336	366	298	313
NOCT	177	276	194	387	241	247	314	207
NOD1	1161	417	2234	1659	619	1889	1222	1458
NOD2	1495	879	2127	1875	1011	2778	1516	2145
NOL10	1182	932	730	645	664	799	1015	666
NOL11	2843	1774	1525	1265	1603	1986	2195	1479
NOL12	368	340	473	727	349	518	530	543
NOL4L	466	584	470	740	386	529	261	222
NOL6	1290	1066	1612	2790	1043	2183	2741	2053
NOL7	1250	1090	1238	863	1093	1160	1264	949
NOL8	1966	2307	1146	563	862	738	1121	905
NOL9	903	681	1362	1013	1001	1276	1373	1555
NOLC1	6971	6089	7951	8187	3916	10478	12064	6155
NOM1	1101	866	1018	1242	1102	1265	1481	1071
NOMO1	244	535	363	393	351	356	382	314
NOMO2	578	857	816	1150	961	1009	1044	757
NOMO3	115	386	109	219	170	158	157	145
NONO	10156	8635	12652	12984	11845	15508	14265	9290
NOP10	1207	969	1421	2234	1288	1472	1743	1054
NOP14	3678	2521	4796	4268	4213	6278	4490	2622
NOP16	588	453	506	884	398	758	864	464
NOP2	2075	2445	2893	4077	2117	3225	3873	2805
NOP56	3018	3419	3620	5305	3060	5183	4994	3500
NOP58	9879	7018	4070	3130	3269	3656	5270	2502
NOP9	1507	1168	2764	2709	2407	2837	2700	2167
NOSIP	847	486	875	1085	932	663	824	1119
NOTCH1	1445	976	2029	2320	1296	1836	1668	2011
NOTCH2	3213	2089	4525	5736	11572	4080	4018	3023
NOTCH2NL	406	567	408	554	340	551	465	369
NPAT	2158	2515	1444	533	795	1013	1080	1036
NPC1	496	788	1004	587	934	868	806	514
NPC2	2494	2033	3791	2102	3682	1944	3451	3790
NPEPPS	5630	2863	6539	3691	5768	5409	6053	3390
NPHP4	96	109	146	189	231	202	196	118
NPIPB3	508	1417	224	247	204	302	285	359
NPIPB5	1399	2548	616	1046	523	919	931	926
NPLOC4	2001	2283	5077	4762	5891	2772	6036	4441
NPM1	21997	30221	11223	14487	16146	19756	18298	12545
NPM3	766	820	725	1301	679	1493	1054	916
NPRL2	584	334	824	709	546	796	904	773
NPRL3	1478	1339	1969	1456	1080	1726	2056	1296
NPTN	1686	1462	2139	2615	2545	1567	2275	1615
NQO2	92	284	199	154	158	234	248	136
NR1D1	642	201	868	863	1037	526	1011	278
NR1D2	1330	803	742	445	866	411	1164	672
NR1H2	1736	838	2023	2099	1940	1521	1696	1442
NR2C1	402	529	263	183	275	290	291	290
NR2C2	2027	1517	3497	1606	2474	2574	2901	2471
NR2C2AP	377	321	669	616	456	622	476	392
NR3C1	6440	3667	3866	2310	2840	2747	2482	4423
NR4A3	11578	10394	8250	6750	3549	4965	15146	7768
NRAS	5980	4023	4804	2828	4663	4127	5514	3673
NRBF2	631	558	591	719	632	584	538	552
NRBP1	3133	1978	5648	6068	5495	4067	4583	3702
NRD1	6478	4804	5389	4627	6465	4594	5379	4079
NRDE2	708	452	910	717	833	930	742	568
NRF1	686	451	950	941	780	716	798	686
NRM	277	300	382	609	521	657	223	443
NRP2	181	1635	512	1473	878	570	684	640
NRROS	1869	950	3145	1558	2825	1176	2566	1035
NSA2	1931	1808	1059	984	1425	1106	1223	945
NSD1	4196	3296	5595	2472	4732	3508	4707	4437
NSDHL	397	448	354	743	495	457	494	456
NSF	4229	2021	3854	1253	2818	1722	2238	1887
NSFL1C	1516	1093	2121	2717	2190	1834	1681	2741
NSL1	1715	1395	1712	912	1407	1895	1656	1841
NSMAF	895	504	1016	677	1642	1018	1010	581
NSMCE1	1240	1143	2042	2190	1521	1830	1655	1870
NSMCE2	443	270	477	357	536	496	443	373
NSMCE4A	1117	646	1244	884	1056	1341	1262	500
NSRP1	1242	1228	950	327	587	650	782	522
NSUN2	4231	2937	6045	3375	5925	5539	7943	3941
NSUN3	207	143	245	140	124	172	249	288
NSUN4	749	1110	1563	1205	1788	1720	1933	999
NSUN5	462	497	465	789	453	448	466	373
NSUN6	344	347	274	234	186	367	340	290
NT5C	536	441	742	760	284	712	608	658
NT5C2	1831	1749	1808	1874	2567	1558	1991	2065
NT5C3A	471	479	335	209	294	353	417	391
NT5DC1	2781	1244	2941	932	1212	2431	1173	2324
NT5DC2	1535	911	558	2837	2104	2218	2095	1310
NT5DC3	1966	1212	1850	2009	704	1753	1882	2111
NTAN1	220	276	406	534	410	280	307	387
NTHL1	356	209	314	349	166	390	366	362
NTMT1	284	297	348	437	347	321	404	356
NTPCR	297	230	327	497	170	531	436	504
NUAK2	879	901	1025	850	1793	409	686	1068
NUB1	3685	4731	10244	5976	6328	7010	11309	3258
NUBP1	518	405	949	746	670	735	536	955
NUBP2	543	484	650	771	437	584	576	546
NUCB1	2738	2619	3587	5577	3085	3248	4198	4154
NUCKS1	8641	7811	7875	7127	10796	8885	8305	6864
NUDC	3469	2532	4424	5226	3291	5301	4887	4198
NUDCD1	790	689	463	458	482	699	861	428
NUDCD2	976	536	921	890	673	1021	1103	786
NUDCD3	2600	1666	4957	4233	3788	3970	4257	3697
NUDT1	583	421	712	849	698	706	609	533
NUDT16	521	663	1408	442	901	844	846	786
NUDT16L1	573	205	722	435	367	459	517	508
NUDT18	263	191	298	470	316	341	273	234
NUDT19	786	575	833	933	924	993	1140	635
NUDT2	433	248	856	366	416	525	616	534
NUDT21	4573	4435	4086	3616	3684	4979	4411	3569
NUDT22	615	339	827	834	623	616	666	672
NUDT4	230	67	130	71	40	85	87	141
NUDT5	928	858	1200	943	1026	1240	1209	980
NUDT8	84	133	51	88	38	71	48	103
NUDT9	337	261	430	304	284	278	295	335
NUFIP1	269	281	170	199	179	262	245	135
NUFIP2	8811	5216	5646	2432	5130	4021	5721	4519
NUMA1	5151	3878	10989	7728	6098	6873	6762	9100
NUMB	1805	1333	2887	1618	3269	1722	1619	1381
NUP107	2301	2588	1427	1399	1363	1915	1738	1431
NUP133	2739	1568	2229	1231	1115	2439	2490	2071
NUP153	3704	3323	3531	3293	3606	4272	3739	3463
NUP155	959	1169	1027	1281	1278	1955	1326	1382
NUP160	2257	1933	2303	1959	2527	2780	2358	1765
NUP188	3292	2460	6106	6778	7810	6422	6145	4886
NUP205	3410	2636	3606	4107	3372	5722	4227	3502
NUP210	9942	8533	18337	12578	9883	17047	18164	13018
NUP214	1533	1397	3251	2840	2433	3102	3060	2446
NUP35	431	298	241	329	244	390	329	271
NUP37	656	801	643	1108	768	1171	971	714
NUP43	1135	1011	1477	1102	1221	1605	1409	1481
NUP50	3192	3329	2620	1452	2479	2229	2291	2281
NUP54	1195	961	808	604	899	715	978	825
NUP62	3245	1994	3151	8599	3843	4282	3118	3854
NUP85	1386	866	2317	2102	1584	2827	2450	2133
NUP88	1989	1454	2496	2508	3041	2592	2855	2264
NUP93	2625	1542	3652	4004	3301	3753	3381	2847
NUP98	3268	3604	4947	4118	4803	4338	4974	3156
NUPL1	1385	1716	1105	1420	1452	1582	1566	1242
NUPL2	638	519	612	440	531	502	597	477
NUS1	1342	1627	752	612	766	732	695	610
NUSAP1	551	2478	496	1405	1747	1801	679	2646
NUTF2	1172	888	1002	1470	1096	1278	1278	1195
NVL	1039	746	1109	1058	1085	1258	1028	813
NXF1	1850	1474	3438	2624	2190	2637	2889	2246
NXPE3	1389	872	1460	809	1016	1223	1183	1420
NXT1	533	390	912	711	687	829	829	860
NXT2	551	564	284	320	346	383	426	534
OARD1	663	536	673	474	587	722	640	553
OAS1	222	363	1004	818	1606	403	742	1930
OAS2	496	795	1803	1734	1640	1625	3083	3536
OAS3	762	2187	3268	2576	2671	4376	3787	1509
OAT	556	642	768	670	1149	1107	1434	546
OAZ1	16203	8651	20457	30805	21180	18326	17133	9921
OAZ2	1863	1087	2935	4798	2042	3511	3595	1728
OBFC1	439	460	903	491	435	773	815	1014
OCEL1	187	253	280	251	181	341	226	503
OCIAD1	2991	2379	2930	1691	2774	2758	2941	2142
OCIAD2	627	334	675	602	582	731	717	939
ODC1	5006	5384	5236	10768	8452	8955	8739	6345
ODF2	1318	1124	1981	2842	1926	2437	2132	2030
ODF3B	45	162	75	164	69	82	105	34
OFD1	1443	1176	1166	505	611	756	899	1222
OGDH	3983	3411	7364	9671	4714	6102	6178	8136
OGFOD1	1443	1087	2145	1532	2011	1962	1901	1599
OGFOD2	279	312	386	472	302	370	319	399
OGFOD3	474	347	624	619	386	501	581	516
OGFR	2461	1031	2643	2591	1827	1873	2289	1537
OGG1	349	338	521	373	487	517	456	654
OGT	9303	6236	10145	5469	9080	8484	9003	7219
OLA1	2614	2066	1583	1785	2089	2164	1940	1258
OMA1	598	564	535	211	372	395	505	427
OPA1	2731	3236	1425	709	1480	1127	1671	1194
OPN3	338	437	473	480	542	371	274	340
OPTN	972	763	1485	730	1536	752	850	872
ORAI1	837	670	749	1880	1599	768	1107	739
ORAI2	2918	2363	2732	4651	7709	2057	4074	2772
ORAI3	917	410	1125	925	690	671	764	766
ORC1	90	542	196	875	677	1160	280	968
ORC2	1372	693	1168	1051	901	1150	1438	1574
ORC3	1249	977	826	366	805	705	567	802
ORC4	1097	773	700	498	685	609	633	635
ORC5	1016	633	686	1652	936	1068	1121	914
ORC6	314	819	557	854	690	1459	537	1139
ORMDL1	1145	906	1121	722	880	993	1130	831
ORMDL2	350	434	328	649	275	336	402	354
ORMDL3	2686	1364	4228	2478	2986	1861	2943	3631
OS9	4260	3619	6043	4773	4633	3918	4661	4574
OSBP	2205	1641	2811	2791	3319	2484	2844	2379
OSBPL10	2571	722	3218	1418	1911	2101	2002	1871
OSBPL11	933	830	926	401	1048	534	717	831
OSBPL2	726	591	1260	685	1259	736	903	774
OSBPL3	733	894	353	1228	1804	712	287	582
OSBPL7	283	179	433	571	221	287	440	576
OSBPL8	2549	5092	1196	805	1301	1299	1242	1701
OSBPL9	3106	2470	2448	1989	2280	1816	2558	1836
OSER1	1823	926	1861	1203	1893	1864	1751	1156
OSGEP	718	562	1434	853	749	966	756	727
OSGEPL1	309	179	264	159	193	301	275	334
OSGIN2	1595	1387	837	612	965	814	1098	903
OST4	1098	1214	1072	1764	978	1022	1068	1046
OSTC	1117	1231	894	985	1541	1252	1270	925
OSTF1	2759	2411	3191	2583	3344	2456	2420	2686
OSTM1	858	815	553	200	1017	255	341	439
OTUB1	1585	1165	2020	2805	1584	1703	2121	1805
OTUD1	258	265	563	143	394	210	263	147
OTUD4	3183	2803	2120	1486	2643	1884	3320	1957
OTUD5	2451	1536	3678	5058	3781	2906	3636	3340
OTUD6B	1412	1189	617	451	485	711	794	451
OTUD7B	1100	324	1024	1782	1246	1548	868	301
OTULIN	3892	1962	4196	3975	9132	5696	6675	1729
OXA1L	3326	2775	4210	3391	4058	4869	4537	2510
OXCT1	1618	1570	1282	1393	1810	1883	1677	948
OXLD1	200	215	461	217	271	301	241	290
OXNAD1	301	262	304	360	461	763	697	260
OXR1	828	449	427	228	358	278	385	461
OXSM	289	189	501	221	377	334	487	244
OXSR1	3566	2062	3709	2504	3442	3578	4318	2241
P2RX4	614	1297	1407	1057	682	1340	1022	749
P2RX5	73	129	63	441	2462	71	130	186
P2RX7	94	847	990	420	3783	837	685	598
P2RY10	2356	994	1788	573	1136	1220	1440	816
P3H1	787	481	901	1960	1006	935	992	997
P4HA1	1670	1026	1052	591	663	792	789	480
P4HA2	297	536	1044	313	119	470	1318	735
P4HB	6612	6367	12645	10843	14191	10209	12944	11460
P4HTM	598	267	1044	378	483	740	610	524
PA2G4	4495	5924	4048	9187	4150	8562	6708	4580
PAAF1	544	214	742	514	694	838	763	513
PABPC1	88511	88612	57649	72787	57614	74943	86668	49008
PABPC1L	167	301	278	215	249	317	198	154
PABPC3	1299	698	798	1444	790	941	1420	663
PABPC4	6141	5247	7661	6232	10962	7817	8939	3922
PABPN1	88	143	213	229	149	131	157	124
PACS1	3560	2509	7856	4995	6133	4396	5208	5636
PACS2	855	654	1193	1682	911	929	1076	724
PACSIN2	1069	1351	1955	3917	5313	1804	1971	2487
PAF1	2196	1212	3637	2839	3471	2775	2432	2351
PAFAH1B1	7662	4290	7421	5348	6232	5556	6843	4347
PAFAH1B2	3066	1833	3374	2482	2802	2828	2964	2361
PAFAH1B3	433	261	440	515	347	466	425	347
PAFAH2	311	189	594	396	579	359	338	391
PAGR1	693	651	891	1470	2474	894	717	1413
PAICS	5329	7113	3791	5739	5193	8414	7000	5112
PAIP1	1197	920	756	664	580	820	947	600
PAIP2	3547	1791	2620	2765	2580	2345	2542	1959
PAK1	2924	2548	5899	6673	2276	10708	4725	2208
PAK1IP1	856	811	511	444	484	745	771	453
PAK2	5349	3666	5656	3720	6510	4359	6508	4853
PAK4	350	187	331	708	352	454	401	332
PALB2	536	807	459	303	434	432	495	575
PAM	76	277	550	868	660	171	393	2563
PAN2	585	838	1323	774	641	981	907	1203
PAN3	4162	1739	3038	1412	1704	2842	2943	1777
PANK2	1342	910	1799	1077	1141	1540	1196	1424
PANK3	1259	1755	1070	597	1017	656	1101	1081
PANK4	646	374	1210	661	623	797	787	711
PANX1	473	587	902	390	598	654	639	448
PAOX	473	175	704	595	603	621	734	346
PAPD4	2884	2287	1875	1151	1871	1573	2118	1654
PAPD5	1704	1000	969	653	923	888	955	683
PAPD7	1394	1351	1759	1325	2014	1297	1981	1285
PAPOLA	6104	5721	4185	3371	3380	3421	4272	4287
PAPOLG	1053	650	721	758	808	678	962	811
PAPSS1	2238	1292	3515	1374	1103	2055	2017	1993
PAQR7	575	528	751	1012	519	1165	1086	684
PAQR8	908	354	1426	599	1099	1796	1234	232
PARG	731	585	461	527	650	481	563	522
PARK7	4980	3807	4855	5223	3735	5983	5098	3366
PARL	988	715	1341	1162	1413	1200	1068	1151
PARN	1969	1672	2211	1438	1544	1865	2166	1923
PARP1	36627	9680	65910	30528	24645	52341	48105	19683
PARP10	1455	1049	3414	2221	1865	2055	2134	2438
PARP11	697	664	499	668	438	670	1090	665
PARP12	1314	1913	2974	2310	1899	2490	3599	1980
PARP14	9209	7342	8324	8551	6232	7809	19972	10994
PARP15	2141	1173	3726	906	2067	1359	1987	2977
PARP16	181	191	251	307	205	347	337	271
PARP2	363	466	419	509	622	789	371	366
PARP3	652	449	1354	884	738	1158	1274	1679
PARP4	3535	2259	4318	1826	3350	2435	2488	3861
PARP6	1476	984	2666	1364	1523	1647	2793	1144
PARP8	375	531	423	353	356	558	343	723
PARP9	1471	1479	3794	4543	2716	3656	9416	10584
PARVB	3462	1513	4155	3143	3229	3001	4431	1100
PARVG	1186	278	2519	1017	563	1542	835	2538
PASK	5608	2912	9302	2595	2244	6106	7660	6999
PATL1	2516	2198	3937	3561	4975	3831	4817	2819
PATL2	634	615	1358	475	402	737	642	2210
PATZ1	1196	761	1690	1616	824	1574	1791	1903
PAWR	477	388	277	224	57	441	516	635
PAX5	22824	9132	39094	23259	22705	29207	36552	26338
PAXBP1	2008	1493	1179	808	865	951	1117	1211
PAXIP1	881	670	918	1140	810	1505	901	684
PBDC1	887	545	744	690	817	637	754	393
PBRM1	3690	2907	2157	1968	2212	2290	2828	1955
PBX2	1256	944	1569	1643	1148	1189	1319	1362
PBX3	840	703	1306	505	785	576	648	1144
PBXIP1	2125	1017	3213	1834	2973	1670	1985	2612
PCBD1	296	360	406	455	292	427	358	347
PCBP1	6911	5487	9778	12502	8503	7702	8539	7124
PCBP2	13748	15317	17158	28316	15107	17751	19242	20224
PCCA	129	136	162	120	128	186	254	212
PCCB	1062	1040	1611	1740	1778	2621	2459	2192
PCED1A	441	415	639	469	415	451	539	582
PCED1B	2518	987	3727	1780	3862	1882	2909	1513
PCF11	4591	2987	3464	1677	2099	2209	2728	2088
PCGF1	350	197	455	502	545	503	402	275
PCGF5	13566	8028	11853	3601	2527	5460	7886	13385
PCID2	1360	851	1952	1107	1408	1683	2021	1382
PCIF1	1442	935	2430	2358	1641	1863	2411	2643
PCK2	2650	2894	4847	2644	4851	5173	3194	1615
PCM1	3756	4244	2733	1018	2549	1352	1343	1572
PCMT1	1784	963	2154	1906	2563	1875	2018	1329
PCMTD1	2973	1597	2139	572	1302	1144	1395	1501
PCMTD2	1293	1450	1473	634	963	987	1234	1528
PCNA	2131	5885	2666	7081	4070	10594	2606	7804
PCNP	4873	3235	2502	2112	2819	3107	3263	2525
PCNT	3676	2723	5440	2032	2157	3037	3285	4685
PCNX	5728	4626	6844	3693	3754	6646	10964	4552
PCNXL3	1469	1250	2277	3367	1636	2129	3461	2429
PCNXL4	1548	964	1307	490	798	995	1377	801
PCSK7	1473	773	2121	2436	2163	1930	2337	2049
PCYOX1	405	469	564	188	620	386	376	389
PCYOX1L	308	415	561	483	408	704	555	276
PCYT1A	1188	640	2639	1588	1458	2097	3257	1506
PCYT2	740	641	1044	938	593	762	828	907
PDAP1	2183	2121	3214	2988	1913	2835	2709	1963
PDCD10	2044	1143	1351	1335	1716	1308	1654	1100
PDCD11	2078	2130	3831	3876	4357	4353	4278	2291
PDCD2	1562	1224	1807	1394	1628	1648	2034	1444
PDCD2L	439	286	393	728	350	485	642	427
PDCD4	15557	10661	25102	3813	6080	12883	20459	6832
PDCD5	2227	2122	2018	1861	618	1749	2707	981
PDCD6	915	970	1085	1311	1207	867	1040	885
PDCD6IP	3198	3000	2940	2316	3352	2870	3239	2182
PDCD7	824	629	1093	908	1136	1086	1129	783
PDCL	967	534	1021	1409	1321	963	1114	1432
PDCL3	533	376	460	352	356	370	681	265
PDDC1	626	606	805	719	549	802	1055	656
PDE12	801	593	780	741	730	697	1149	752
PDE4A	965	502	1291	1842	1541	908	1196	590
PDE4B	1327	1604	4440	1303	2465	1147	1834	5461
PDE4DIP	1252	2651	1698	994	1220	1032	1201	2201
PDE6B	112	185	282	238	254	278	273	172
PDE6D	523	438	693	941	985	491	651	580
PDE7A	10863	6240	7858	3706	4174	8306	11236	3461
PDE8A	1857	1221	1368	689	1123	1706	1505	157
PDHA1	1818	1610	2321	2456	2127	2771	2900	2022
PDHB	1691	1138	2123	2294	2558	1891	2074	2312
PDHX	717	583	465	356	495	392	630	283
PDIA3	6769	6585	8060	8927	9671	7951	9677	7034
PDIA4	2553	1556	4152	4179	5806	2982	4009	2994
PDIA5	100	320	234	649	668	288	262	384
PDIA6	5654	4972	8475	7652	9215	7524	6749	6758
PDIK1L	579	384	290	236	261	219	321	418
PDK1	429	828	349	359	475	541	564	382
PDK2	494	325	632	1082	417	637	602	885
PDK3	2065	1707	2025	1324	1447	1686	2046	1742
PDLIM1	1513	1155	2157	2539	2443	2080	1678	2851
PDLIM2	947	98	1185	713	722	592	820	307
PDLIM5	825	591	680	804	744	430	765	640
PDLIM7	195	258	197	620	604	500	107	254
PDP1	615	343	595	411	565	664	611	427
PDP2	1116	720	1330	727	667	1395	1621	1153
PDPK1	2342	1679	4227	2576	3188	2630	2858	2547
PDPR	1369	1561	2794	1670	3740	2528	3259	2302
PDRG1	1018	559	1634	1560	1173	1720	2558	1038
PDS5A	5918	5918	4238	1855	4252	2925	3920	2819
PDS5B	2519	2404	1127	798	1123	1073	1078	858
PDSS1	232	422	201	312	199	415	278	269
PDSS2	428	263	562	329	400	437	425	368
PDXDC1	2440	2068	3634	3360	3700	2394	3169	3445
PDXK	1430	1684	2816	1818	3413	1658	1730	2278
PDZD11	172	182	255	342	350	335	282	311
PDZD8	1364	1075	751	608	849	705	1091	492
PEA15	4030	3388	7585	6642	17741	5757	5663	7043
PEAK1	2990	1777	5212	1473	2838	3362	2547	2060
PEBP1	4085	3551	8603	5320	3355	5092	5671	8068
PEF1	3059	1694	4277	2826	1694	2782	3127	3210
PELI1	2792	1311	3258	1335	1527	1654	2345	3516
PELO	299	239	478	387	650	448	472	377
PELP1	1809	1535	2598	2816	1768	2918	2890	2070
PEMT	65	87	81	91	71	72	86	55
PEPD	907	605	1298	1643	1178	1071	1213	1239
PER1	484	336	666	1101	1781	680	831	443
PER2	407	244	669	486	391	651	680	503
PES1	2265	1380	2583	3207	2054	3363	3007	1979
PET100	409	347	617	489	324	446	447	532
PEX1	694	759	500	345	535	486	565	585
PEX11B	1531	633	2126	1455	629	1914	2145	1289
PEX12	374	188	536	217	238	374	402	197
PEX13	735	348	625	544	616	601	667	570
PEX14	390	312	824	815	563	502	721	633
PEX16	686	431	688	871	736	761	806	624
PEX19	1329	1119	2354	1942	3431	1990	2409	2031
PEX2	1872	591	2383	908	1256	1767	2048	1562
PEX26	764	789	1917	1390	2021	1721	1783	1651
PEX3	632	328	475	419	408	559	626	446
PEX5	1818	893	1605	1830	1032	1987	2842	1292
PEX6	391	362	1754	805	967	1226	2057	956
PFAS	1602	1634	2174	3020	1598	3508	3305	1217
PFDN1	937	767	1292	997	1072	1304	1166	1296
PFDN2	1191	735	1280	1481	1580	1170	1419	799
PFDN4	487	379	341	281	515	461	406	310
PFDN5	8096	5677	8858	8464	7811	7187	7788	6954
PFDN6	521	434	593	674	351	574	494	464
PFKFB2	931	781	1138	779	774	536	1274	3719
PFKFB3	424	4837	462	1001	1864	824	786	511
PFKL	2566	1973	4250	4646	3467	3468	3070	6672
PFKM	1413	983	2381	1843	2428	2307	1954	1465
PFKP	1686	2785	3430	1822	1197	1311	2936	6041
PFN1	16549	15075	16224	24647	10575	16470	16403	13522
PGAM1	917	2426	858	1824	935	1081	1059	975
PGAM5	1048	1128	734	2273	1196	1698	1468	1829
PGAP2	678	481	997	762	481	1139	1198	788
PGAP3	278	160	494	337	452	244	341	299
PGBD2	371	223	452	159	250	230	247	383
PGD	2810	5768	3341	4977	5073	4621	3583	6669
PGGT1B	556	525	358	275	560	389	400	339
PGK1	6276	4776	9311	10856	11026	9047	9322	6778
PGLS	927	840	1019	1566	1055	926	885	940
PGM1	1487	969	2679	2048	3297	2668	2063	1883
PGM2	1137	989	1086	817	1201	1053	1103	1098
PGM3	694	773	561	365	573	354	608	702
PGP	224	437	378	976	439	380	337	395
PGRMC1	446	579	424	508	410	670	394	617
PGRMC2	794	539	695	600	630	635	795	663
PGS1	807	796	1687	1552	721	1313	1587	1756
PHACTR4	1588	988	2294	1252	1712	2026	1916	1528
PHAX	1338	861	881	476	887	728	737	775
PHB	2804	2164	3374	3013	1870	3064	3160	2403
PHB2	7824	8580	7604	9900	8351	8764	9486	5849
PHC1	206	1405	351	213	223	241	326	174
PHC2	714	636	966	2109	955	898	1037	968
PHC3	4533	2403	3438	1372	2185	1959	3221	3581
PHF1	975	505	1525	1273	1252	892	1082	1020
PHF10	1430	1206	1431	1091	1027	1931	1258	1259
PHF11	1700	1018	1787	1062	1650	1213	2472	772
PHF12	2759	1528	5515	3707	3075	4181	3704	2565
PHF13	896	494	1262	975	1045	1161	1247	898
PHF14	1825	1215	955	674	542	884	1144	1014
PHF19	718	997	1381	2005	1531	1846	1305	2231
PHF2	1229	676	1911	1719	1782	1430	1792	1162
PHF20	3896	1629	3296	2009	2694	2463	2713	1520
PHF20L1	5482	2357	2384	920	1407	1427	1971	1192
PHF21A	2801	1350	3972	2131	2015	2133	3154	2327
PHF23	1177	622	1519	1895	1545	1213	1480	1132
PHF3	2524	4670	2033	696	1386	1245	1709	1456
PHF5A	985	836	1251	1678	1375	1721	1504	1379
PHF6	2125	832	1154	683	1421	860	1266	1203
PHF8	1511	775	2874	2542	2298	2329	2897	1973
PHIP	4551	9486	2971	1309	1705	2456	2060	2084
PHKA2	763	560	1119	1121	958	1223	1183	997
PHKB	2768	2447	2407	1642	2437	1291	2271	2498
PHKG2	759	507	1003	1172	767	978	998	1343
PHLDB1	365	317	303	983	250	483	467	115
PHLDB3	132	76	214	268	186	140	257	194
PHLPP2	1271	740	1762	851	1993	935	1134	593
PHPT1	207	237	276	295	207	248	233	277
PHRF1	1071	1332	2075	1826	1646	1703	1324	1513
PHTF1	1051	1310	1146	1692	697	1219	988	1811
PHTF2	2507	1375	1635	689	1427	1153	1329	1282
PHYH	146	117	137	136	285	134	106	202
PHYKPL	619	545	1218	568	858	614	657	562
PI4K2A	790	788	2426	1999	3303	1356	1663	1631
PI4K2B	3792	2002	2738	1463	2041	2119	2823	2799
PI4KA	1964	1821	3706	4556	3304	4033	3786	3217
PI4KB	2635	1468	4842	4524	4844	3614	3710	4053
PIAS1	1137	846	915	663	852	669	920	696
PIAS2	955	669	887	406	765	805	1131	744
PIAS3	887	426	945	877	419	1021	1231	619
PIAS4	528	349	902	777	724	528	721	569
PIBF1	323	540	207	73	135	148	154	191
PICALM	7629	4407	5064	4169	3114	5225	5081	3508
PICK1	273	228	428	441	279	474	496	474
PIDD1	126	202	190	511	272	274	170	320
PIEZO1	552	1744	1243	3284	1524	2765	1907	1366
PIGA	507	328	251	253	300	282	385	240
PIGB	469	374	332	253	371	375	424	221
PIGC	384	306	725	414	482	650	569	591
PIGF	379	253	237	493	140	390	331	242
PIGG	553	376	1001	658	705	715	693	482
PIGK	600	561	365	253	370	402	501	561
PIGM	432	343	508	282	419	483	506	319
PIGN	623	450	568	640	893	772	820	435
PIGO	461	592	817	827	698	690	831	734
PIGP	152	152	112	116	121	192	168	112
PIGQ	260	366	499	569	385	409	420	342
PIGR	551	82	795	559	4546	279	195	368
PIGS	1085	627	1745	1638	1188	1513	1383	1320
PIGT	1203	955	1536	1870	1356	1998	1732	1270
PIGU	346	293	462	674	338	516	529	491
PIGV	388	211	870	402	496	713	610	464
PIGX	929	908	812	682	1103	969	913	485
PIH1D1	1066	857	1284	1734	1511	1922	1446	1076
PIK3AP1	4300	2569	6077	3165	9889	5638	4137	5700
PIK3C2A	1302	2324	703	422	507	647	765	781
PIK3C2B	759	760	886	1603	3658	1880	1117	401
PIK3C3	1146	733	881	346	923	652	718	488
PIK3CA	1744	1812	1037	624	804	750	881	649
PIK3CB	886	1015	687	699	770	661	1241	872
PIK3CD	8593	4799	17251	13975	19097	10147	14460	8541
PIK3CG	1244	653	825	283	2038	452	525	539
PIK3R1	2222	2015	1761	947	1359	1694	1521	1681
PIK3R2	642	518	760	2057	921	928	1172	925
PIK3R4	1001	858	1109	714	953	1012	1059	851
PIK3R5	2385	1897	1708	6783	1523	4063	4101	289
PIKFYVE	3147	2888	2650	1101	3170	1293	2289	1908
PIM1	2087	3695	2068	3525	2017	2367	5183	5534
PIM2	3641	1848	6045	3750	3989	2406	4534	4009
PIM3	2363	2569	4038	2230	4802	2606	2434	1128
PIN1	519	574	689	1957	594	784	692	880
PINK1	161	190	199	438	385	176	191	232
PINX1	300	273	326	351	316	345	328	228
PIP4K2A	6320	2468	7623	3794	6077	4769	5581	3804
PIP4K2B	1317	848	2255	1972	1820	1838	2123	1909
PIP4K2C	787	740	1305	1829	1415	972	1393	1312
PIP5K1A	1924	1396	3650	2724	5623	3157	3145	2380
PIP5K1C	532	649	1055	1633	2629	680	637	748
PISD	912	627	1165	1851	1637	1340	1288	910
PITHD1	1471	1045	2226	1707	1332	1908	2099	2209
PITPNA	3075	3064	4551	5074	5458	4333	4255	2638
PITPNB	4619	3525	3509	2636	3604	4114	4605	2324
PITPNC1	5357	774	7438	1107	1810	1820	2340	439
PITPNM1	1830	1554	2306	3820	3111	2378	2301	1902
PITRM1	1102	1110	1771	1433	1704	1613	1781	2244
PJA1	1031	365	1428	737	697	1213	1340	788
