,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fold change
CTDSP1,877.30496771675,-0.879782906591941,0.318928018789061,-2.75856260585818,0.005805618340288,0.090708388371289,0.543449202087679
CTDSP2,1593.89146463515,0.037365476658037,0.367428153490301,0.101694647791934,0.918999050565276,0.981921858909684,1.02623808839697
CTDSPL,6.98155497083383,-1.78963022893074,2.02185222221099,-0.885143933503557,0.376079006801784,NA,0.289246171940467
CTDSPL2,433.058657966777,-0.849819284044406,0.367136418622104,-2.31472346773402,0.020628070608485,0.184583444771314,0.554854234251125
CTGF,20.4207073224241,1.19456205178997,1.33664295503045,0.893703174280188,0.371480726563296,NA,2.28875343586387
CTH,210.236688223116,0.232446332891746,1.48133562334821,0.156916723818709,0.875310479436867,0.969327279873701,1.17482537587545
CTIF,140.844196413249,0.48973553563297,0.698590946852483,0.701033326926844,0.483282217099516,0.831016545394398,1.40418744670891
CTLA4,162.863844705982,1.03371237267955,1.8045510925779,0.572836300912288,0.566755537661915,0.869109247952848,2.04728559679637
CTNNA1,2728.99783357631,0.781844983897054,0.457709965765573,1.70816683571512,0.087605390286542,0.397226191166848,1.71932822250591
CTNNAL1,77.6398463780082,-1.01758520066604,1.16994900557183,-0.869768849599289,0.384426738028137,0.764693738606644,0.493942427147826
CTNNB1,3383.52652314733,0.675899650372319,0.349238200861424,1.93535429029573,0.052946834421835,0.310044154774538,1.59759270517944
CTNNBIP1,114.607950842148,0.246151631107717,0.632509517796022,0.389166683159855,0.697152847609043,0.923330666649236,1.18603914874729
CTNNBL1,1082.86763173545,0.697126330763011,0.343231534182545,2.03106725733496,0.042248172375206,0.274455137607476,1.62127220157215
CTNND1,284.487191456511,1.62513184500395,0.921180216957874,1.76418448321743,0.077700924299015,0.376476834820922,3.08470354279995
CTNS,263.313530153063,0.345565289320647,0.537991188133764,0.642325184766274,0.520662065303689,0.846848734132476,1.27064876166127
CTPS1,797.229187594671,0.784150353620339,0.593396710975626,1.32146056612125,0.186347842760117,0.567854300987685,1.72207783743598
CTPS2,472.496070205553,0.5192303432145,0.678323048888039,0.765461742846073,0.443996639063063,0.804514732387683,1.43319045780285
CTR9,1375.12600391792,-0.658133050658639,0.49001261192584,-1.34309410541915,0.179241504028732,0.557764232250478,0.633697816371985
CTRL,19.3271764303517,-0.683384888852648,0.920529441682871,-0.742382435485511,0.457855658463237,NA,0.622702558155395
CTSA,886.044038937908,0.347488831126331,0.549860038783849,0.63195869242451,0.527413869630931,0.850208275004626,1.27234404448644
CTSB,1714.19399506505,0.910247397485757,0.855786382254286,1.06363856256746,0.287492466081838,0.687202450200677,1.87936775017198
CTSC,593.178533946167,0.463826552641938,0.72588664519777,0.638979316826481,0.522836387218939,0.848158742586673,1.37919509875299
CTSD,1173.16631620826,0.949414407376775,0.717863646797299,1.32255535102317,0.185983290706408,0.567750796998135,1.93108866623677
CTSE,10.7240112331454,-2.73284267341127,2.45423501167905,-1.11352118293741,0.265484655808664,NA,0.150429281741109
CTSF,19.9761473769459,-0.563150709746126,1.66832022123181,-0.337555525959112,0.735698161933784,NA,0.676822432230447
CTSH,4021.6747875515,0.508413322353663,0.590851366080992,0.860475834600967,0.389526798777261,0.768419614357194,1.42248488449603
CTSK,25.3918314699953,-3.82230865921304,1.72353353276544,-2.21771644505232,0.026574172253472,NA,0.070692028014623
CTSL,125.136340787289,1.48079301161506,2.62707126097837,0.563666861120313,NA,NA,2.79102106219257
CTSO,89.7644385794594,-0.17787381687779,0.742748089283329,-0.239480679175383,0.810732876436858,0.954369568700557,0.884004845818594
CTSS,1984.72381182414,0.4484038722111,0.778802634153172,0.575760600371711,0.564777007939756,0.867329184207606,1.36452977181681
CTSV,6.16210731724081,1.12415056352645,1.49088908979728,0.75401354213364,0.450841090196018,NA,2.17973169520651
CTSW,60.7647302470565,1.1660450370561,1.33660595346971,0.872392520794291,0.382994279305104,0.76435784946666,2.24395701026574
CTSZ,3648.45090365183,0.116567104917296,0.454496532821788,0.25647523468128,0.797583900917754,0.953019267327638,1.08415204936133
CTTN,758.520637053618,0.489385643526836,0.924216367065364,0.529514149463472,0.596448831547558,0.882984629657742,1.40384693501681
CTTNBP2,8.56909602069865,0.030960015792086,2.18831942591478,0.014147850366563,0.988712025195208,NA,1.02169176619491
CTTNBP2NL,114.26439886757,-0.32559658862632,0.577738447449815,-0.563570920480592,0.573046181809601,0.872665918418913,0.797968339280682
CTU1,59.3569280115833,0.554336531359867,0.69389590215383,0.798875637742238,0.424362526594187,0.792269229163909,1.46849314525909
CTU2,205.868023096728,-0.322544580330331,0.65280910640213,-0.494087133845286,0.621244643968793,0.892919094140664,0.799658220911571
CUBN,15.9563573297939,-3.13417427667489,1.57931275233744,-1.98451780499853,0.047198145209102,NA,0.113898900331367
CUEDC1,8.78961401051525,-0.203435121417969,1.75904974995216,-0.11565057862832,0.907929475864131,NA,0.868480209249818
CUEDC2,857.509188820788,0.569242741458732,0.549374381768915,1.03616542807446,0.300124972464328,0.700769184531458,1.4837445611086
CUL1,1672.75543415271,-0.305948416292227,0.469093270975,-0.652212332221948,0.514264205461926,0.844172633989713,0.808910270513591
CUL2,503.458476310865,-0.813129483224151,0.297055856940438,-2.73729490338644,0.006194673359594,0.093664914492865,0.569145930867473
CUL3,1387.47005991806,-0.719637073667578,0.229416647121234,-3.13681279322024,0.001707951439761,0.042957061577598,0.607250183669327
CUL4A,1521.78959418803,0.012347820081706,0.383585309425093,0.032190544784451,0.974320096441995,0.995142060550279,1.00859558840859
CUL4B,785.014714073898,-1.02364371007302,0.369944910151539,-2.76701660702322,0.005657187323932,0.089886580287993,0.491872495514355
CUL5,517.476584056365,-1.10255187231419,0.336972780217119,-3.27193155365187,0.00106815432224,0.032492057141415,0.465692039987457
CUL7,551.12971488311,0.286302301286997,0.468446449598878,0.611174023268085,0.541084378674791,0.857486109250722,1.21951060268527
CUL9,758.009561270633,0.321824781729057,0.314534041723358,1.02317949423138,0.306222986446393,0.705364889867388,1.24991048917454
CUTA,918.674843028807,0.536116007009191,0.607249366118993,0.882859722745494,0.377312067618536,0.759263076368427,1.45006342769177
CUTC,168.585717439536,-0.368909183151589,0.534877227422915,-0.689708150277823,0.490377739410406,0.834083197583801,0.774367772338485
CUX1,561.391808525281,0.207073433890497,0.398388222028976,0.519778001558078,0.603218313613643,0.886515071672961,1.15434417271031
CWC15,702.834868458638,-0.483185154926641,0.265640889523024,-1.81894118708242,0.068920403285785,0.355599133424126,0.715396440415538
CWC22,476.070559818213,-1.45866791839288,0.468188283106246,-3.11555835766583,0.001835970163311,0.044757740718822,0.363828907929156
CWC25,390.333676258267,0.567336047617943,0.410390638066343,1.38242931244993,0.16683992096278,0.541023039298173,1.48178491066438
CWC27,278.181294181454,-1.03070457608963,0.385689981768983,-2.67236543547815,0.007531857592142,0.104889703159991,0.489471045024713
CWF19L1,572.011288511273,0.797380015878332,0.380480756096779,2.09571707136618,0.036107296567773,0.249556596653401,1.73794209601462
CWF19L2,249.202691424775,-1.35180108164807,0.452214398318582,-2.98929243888368,0.002796243594068,0.059330995765487,0.391802611375078
CX3CL1,138.117608604871,1.27024665810064,1.30414327576497,0.974008517089931,0.330052310326882,0.726275249331268,2.41202800544405
CX3CR1,31.4429303683934,1.34994152482126,1.52749302774721,0.883762806310278,0.376824268179745,NA,2.54901793599116
CXCL10,204.916252239626,1.72523764320025,2.87789873180238,0.599478231855561,0.54885402188615,0.861730043937592,3.3063458547204
CXCL16,345.886143646972,0.722960377113784,1.04944929964741,0.688895001746803,0.490889345048108,0.834083197583801,1.65056548446048
CXCL8,452.939963604521,0.82069712732984,1.07465385635817,0.763685090296008,0.445054927945532,0.80525207537247,1.76625926380371
CXCL9,567.171136550538,0.558775749561195,3.03915664162853,0.183858818564145,0.854124212017653,0.963317466242188,1.47301870411532
CXCR3,393.959177510552,0.762912316822184,1.17080545172707,0.651613225490879,0.514650713732897,0.84440384407536,1.69691266642685
CXCR4,1737.67784723546,0.237057505586042,0.652850195592931,0.363111640597337,0.716521489304722,0.930716196608344,1.17858638513407
CXCR5,4008.27241883126,0.935616194303976,0.633204646666923,1.47758895837056,0.139517831553615,0.499770188527993,1.91270740360488
CXCR6,12.4470973247153,1.45557647874609,1.50448099312575,0.96749409623444,0.333297091161111,NA,2.74266131630415
CXorf21,95.9962685337105,-0.537752462594453,1.12121062016514,-0.479617703331468,0.631499255771198,0.896969054134966,0.688843204669493
CXorf23,60.2054101694184,-1.15750539501484,0.638169816181166,-1.81378900359375,0.069710216115317,0.356927382612288,0.448287011495105
CXorf38,549.67040117528,0.463139904274534,0.448281165441599,1.03314602525917,0.301535567330516,0.702334796052542,1.37853882926776
CXorf40A,141.331804302807,0.384006203681674,0.556489037115135,0.690051695667502,0.490161678419646,0.834083197583801,1.30496055909142
CXorf40B,189.568497766363,0.263586720391943,0.429387006419983,0.613867481900765,0.539302900015135,0.85622823087427,1.20045949028345
CXorf56,223.459705759299,0.441374201357602,0.366880531137796,1.20304612509359,0.228958471800476,0.622303574382317,1.35789714097214
CXorf65,6.8628621188943,-2.69727068185411,1.88167265005496,-1.43344310274974,0.151731247979378,NA,0.154184465058378
CXXC1,638.206254263584,0.138090351350727,0.425399976051073,0.324612973965348,0.7454740067629,0.938195515162077,1.10044752469759
CXXC5,475.977366998991,-0.327056437637981,0.599855950626658,-0.545224961586713,0.585598805739191,0.878866960381682,0.797161291307967
CYB561,117.529153386239,0.328605907773974,1.53783867606965,0.213680350798442,0.830796335240619,0.958637960735869,1.25579929523394
CYB561A3,1018.90975647227,0.469136265166309,0.696922272489461,0.673154358362687,0.500849094563482,0.838916381505699,1.38428045767984
CYB561D1,274.141161824545,0.010771554022815,0.617638116010735,0.017439911403765,0.986085669294538,0.997808789538358,1.00749421441004
CYB561D2,154.561247755437,0.985386844115994,0.465415547933025,2.11721943646325,0.034241228569202,0.241680731694461,1.97984411688234
CYB5A,843.71563530404,0.535864174629156,0.597013676129472,0.89757437066307,0.369412507831918,0.754034398409094,1.44981033119946
CYB5B,1080.52321678052,0.870026690988382,0.344297493657224,2.5269620227168,0.011505394333641,0.133849596126236,1.82769671396693
CYB5D1,91.2571780987981,-0.874014468891476,0.790810891761309,-1.10521298833512,0.269067310196258,0.666655959332967,0.545626466373275
CYB5D2,75.4935269208744,-0.540760475640082,0.577925797137646,-0.935691880027443,0.349431852554854,0.742843218020604,0.687408465739358
CYB5R1,193.078781512076,0.486370517857376,0.43711621629397,1.11268010594757,0.265845842629404,0.662667550303321,1.40091606272798
CYB5R2,842.120736365757,1.49452490432618,1.40713321866775,1.06210619186516,0.288187479469866,0.687291010256973,2.81771345280862
CYB5R3,1311.83239561716,0.773653345283359,0.458811917453954,1.68621022221159,0.09175531569477,0.407090183290826,1.70959352061311
CYB5R4,336.939897422704,-0.471792103640724,0.338914430414497,-1.39206850255303,0.163901655138869,0.537650136938055,0.721068336192172
CYB5RL,61.9832664310449,0.005765376242551,0.788678679787762,0.007310171290674,0.994167379138247,0.998883545892356,1.00400424995892
CYBA,982.166787818099,0.116711424209055,0.351263267515629,0.332261967026945,0.739691455965537,0.937943725856317,1.08426050740523
CYBB,712.917765183106,0.516762896782335,2.15398374898964,0.239910304348735,0.810399792402229,0.954304289054674,1.43074136203833
CYBRD1,254.81855576705,-0.877936383316814,1.45460047761443,-0.603558431904714,0.546137256240918,0.861258202531939,0.544145214783909
CYC1,1220.84665005233,0.245249198862668,0.393541635962539,0.623184884269814,0.533163033704098,0.852852303067246,1.18529749146091
CYCS,497.689099288734,0.066073494625519,0.576912528411793,0.114529484751207,0.908818074718838,0.978377397282013,1.0468636105625
CYFIP1,1042.3836050407,0.782463787400226,0.402096744553877,1.94595902105192,0.051659662271405,0.305630773002141,1.72006583821839
