,GPB.vs.GPA.Gene,GPB.vs.GPA.mRNA_logFC,GPB.vs.GPA.mRNA_FDR,GPB.vs.GPA.Change_type,GPB.vs.GPA.P.value,GPB.vs.GPA.FDR,GPB.vs.GPA.Direction
3151,INTS4,-0.448997219299358,0.791291811075097,translational_only,0.362068899596066,0.886770291767947,-1
3152,INTS5,-0.840723603672914,0.478312541001325,translational_only,0.479064973851734,0.933778804514327,-1
3153,INTS6,1.13559777135097,0.097629782126993,translational_only,0.133293925664951,0.624379610280453,-1
3154,INTS7,-0.201796239397328,0.949221169530802,translational_only,0.556756333549961,0.953225893251692,-1
3155,INTS8,0.539903002725037,0.660573773839241,translational_only,0.137313708652426,0.631610763358513,-1
3156,INTS9,-0.802944694622281,0.430909097077061,translational_only,0.716230688816422,0.984436711240199,1
3157,INVS,-0.366955251644273,0.895790123123326,translational_only,0.518573636780659,0.942541607469753,-1
3158,IP6K1,-0.706321075124063,0.515367289595654,translational_only,0.539712012123577,0.950856287550169,1
3159,IP6K2,-0.413005286266976,0.814451617214992,translational_only,0.30011941176803,0.845917856718592,-1
3160,IPO11,0.303496576744822,0.889567666031311,translational_only,0.060631409625469,0.442443383423665,-1
3161,IPO13,-1.09511187837391,0.236348983432753,translational_only,0.720240566440515,0.984436711240199,1
3162,IPO4,-0.574965430727527,0.697862649436163,translational_only,0.765051480003086,0.985954318106118,-1
3163,IPO5,0.35676998216977,0.764078451760406,translational_only,0.431943251631965,0.921577598925268,-1
3164,IPO7,1.28602173714185,0.014696580007683,both,0.065834485479853,0.457643277618837,-1
3165,IPO8,0.479313073730626,0.651856005367899,translational_only,0.226523278347272,0.773121384813698,-1
3166,IPO9,-0.629196349314863,0.592738507597934,translational_only,0.777859326857759,0.987676253773356,1
3167,IPP,-0.245330925403333,0.944108943966701,translational_only,0.382575684643496,0.898728096288094,1
3168,IPPK,-0.51634870815247,0.788975061994685,translational_only,0.720292787120596,0.984436711240199,1
3169,IQCB1,0.351943700364413,0.789188046770048,translational_only,0.473962097289329,0.933778804514327,-1
3170,IQCE,-0.504388031642207,0.804600614529895,translational_only,0.246982171500526,0.796615942932152,1
3171,IQGAP1,1.25315400286777,0.12196856470047,translational_only,0.056986197565714,0.426179759232685,-1
3172,IQSEC1,-1.00266698024007,0.587625303198109,translational_only,0.994649255967059,0.999021941489714,1
3173,IRAK1,-0.366518125935896,0.793380695247596,translational_only,0.99094881194104,0.999021941489714,-1
3174,IRAK2,0.093524388819122,0.985723953025404,translational_only,0.907099771279434,0.995200595901049,-1
3175,IRAK4,0.668711225534813,0.486550909700002,translational_only,0.421230362147903,0.914797616698083,1
3176,IREB2,0.763173804427533,0.325073716514306,translational_only,0.754377919417335,0.984436711240199,-1
3177,IRF1,-1.53551115359244,0.15555104401138,both,0.692162209216282,0.982247176107318,1
3178,IRF2,-0.570731528240099,0.675883795339095,translational_only,0.710850454489843,0.984436711240199,-1
3179,IRF2BP1,-0.710926368282399,0.759857152774338,translational_only,0.348797501176929,0.874529450694225,-1
3180,IRF2BP2,0.164532766439743,0.931760457018606,translational_only,0.289046647564016,0.836783109192315,-1
3181,IRF2BPL,-0.679126678190783,0.670245332686751,translational_only,0.85046967536876,0.993749382864656,-1
3182,IRF3,-0.511410132537096,0.714617819122199,translational_only,0.354363505541093,0.881100670903034,-1
3183,IRF4,-0.247834130922422,0.914258616510448,translational_only,0.895107364994741,0.994746689651404,1
3184,IRF5,-0.755048574530132,0.478312541001325,translational_only,0.99956942263812,0.999739823153401,1
3185,IRF7,-0.408376024399781,0.906413279000257,translational_only,0.094853672377742,0.547298118175055,-1
3186,IRF8,-1.16465746312125,0.113752781699234,translational_only,0.825111445475481,0.993749382864656,1
3187,IRF9,-1.20678842412049,0.134773913435335,translational_only,0.903305930778497,0.994746689651404,-1
3188,IRGQ,-0.521654990603511,0.759510366525496,translational_only,0.042765085868022,0.372259286035145,1
3189,ISCA2,-0.582890220874176,0.759857152774338,translational_only,0.547557329626363,0.951857437901591,1
3190,ISCU,-0.043931083334078,1,translational_only,0.887553661322421,0.994344153929159,1
3191,ISG15,-0.974471667600982,0.673918209513379,translational_only,0.800814642415914,0.992056483752992,-1
3192,ISG20,-0.667702082580218,0.694856479634085,translational_only,0.643442034744109,0.972213618727502,1
3193,ISG20L2,-0.742478922133932,0.458712845431549,translational_only,0.346601890246142,0.874529450694225,1
