,Control.vs.Treated.Gene,Control.vs.Treated.mRNA_logFC,Control.vs.Treated.mRNA_FDR,Control.vs.Treated.Change_type,Control.vs.Treated.P.value,Control.vs.Treated.FDR,Control.vs.Treated.Direction
140,ACADL,0,1,translational_only,NA,NA,1
141,ACADM,0.591168025398578,1,translational_only,NA,NA,1
142,ACADS,2.26670818608119,1,both,NA,NA,1
143,ACADSB,0.06171083126596,1,translational_only,0.801883667006072,1,-1
144,ACADVL,-0.170692183742055,1,translational_only,0.255727588135063,1,1
145,ACAN,-0.362549497212649,1,translational_only,NA,NA,1
146,ACAP1,0.277132944038386,1,translational_only,0.779747409527191,1,1
147,ACAP2,0.582021913531597,1,translational_only,NA,NA,1
148,ACAP3,0.164574950208504,1,translational_only,NA,NA,1
149,ACAT1,0.181238597933647,1,translational_only,NA,NA,1
150,ACAT2,0.095064889043221,1,translational_only,0.302775641351008,1,-1
151,ACBD3,0.096132912959966,1,translational_only,NA,NA,1
152,ACBD4,-0.104430196770975,1,translational_only,NA,NA,1
153,ACBD5,-0.019687276247863,1,translational_only,0.339441928705065,1,1
154,ACBD6,1.55024772980537,1,both,NA,NA,1
155,ACBD7,-0.003257504796308,1,translational_only,0.633972093609271,1,1
156,ACCS,0,1,translational_only,NA,NA,1
157,ACCSL,0,1,translational_only,NA,NA,1
158,ACD,0.024694740971788,1,translational_only,NA,NA,1
159,ACE,0,1,translational_only,NA,NA,1
160,ACE2,0,1,translational_only,NA,NA,1
161,ACER1,0,1,translational_only,NA,NA,1
162,ACER2,-2.38399114532197,1,both,NA,NA,1
163,ACER3,-0.974460825486217,1,translational_only,NA,NA,1
164,ACHE,-0.831365227977605,1,translational_only,NA,NA,1
165,ACIN1,0.200773578329602,1,translational_only,0.549960713879438,1,-1
166,ACKR1,0,1,translational_only,NA,NA,1
167,ACKR2,-0.373013173818165,1,translational_only,0.954822419408505,1,-1
168,ACKR3,0,1,translational_only,NA,NA,1
169,ACKR4,-0.257616077735125,1,translational_only,NA,NA,1
170,ACLY,0.723994579373526,1,translational_only,0.0282887443912,0.535737384688619,-1
171,ACMSD,0.223032887699804,1,translational_only,NA,NA,1
172,ACO1,0.02336974073265,1,translational_only,0.541044944347821,1,1
173,ACO2,-0.032607106272378,1,translational_only,0.766893894803008,1,-1
174,ACOT1,-0.982605876014624,1,translational_only,0.005281296582769,0.245580291098753,1
175,ACOT11,-2.38300095130994,1,both,NA,NA,1
176,ACOT12,0,1,translational_only,NA,NA,1
177,ACOT13,0.153469552017143,1,translational_only,0.308992649249905,1,-1
178,ACOT2,-0.27427886523876,1,translational_only,0.652240304222802,1,1
179,ACOT4,-2.38300415827804,1,both,NA,NA,1
180,ACOT6,2.26669228472052,1,both,NA,NA,1
181,ACOT7,-0.142887479166561,1,translational_only,NA,NA,1
182,ACOT8,0.291724898160637,1,translational_only,0.348309386025858,1,-1
183,ACOT9,0.573575315356143,1,translational_only,NA,NA,1
184,ACOX1,-0.213649887588322,1,translational_only,0.704791732720431,1,1
185,ACOX2,0.39628139295952,1,translational_only,NA,NA,1
186,ACOX3,3.10548981321731,1,both,NA,NA,1
187,ACOXL,-0.973689030122073,1,translational_only,NA,NA,1
188,ACP1,1.07917405857116,1,translational_only,NA,NA,1
189,ACP2,0.151803210342428,1,translational_only,0.886583265270679,1,-1
190,ACP5,0.72210558162867,1,translational_only,NA,NA,1
191,ACP6,0.797249558240403,1,translational_only,NA,NA,1
192,ACPP,0.714681990163222,1,translational_only,NA,NA,1
193,ACPT,-0.104024990029893,1,translational_only,0.528546491019525,1,1
194,ACR,0,1,translational_only,NA,NA,1
195,ACRBP,2.26667645953477,1,both,NA,NA,1
196,ACRC,0,1,translational_only,NA,NA,1
197,ACRV1,0.290059397389418,1,translational_only,0.722638316802553,1,-1
198,ACSBG1,-1.40463728346878,1,translational_only,NA,NA,1
199,ACSBG2,0.23397814690184,1,translational_only,0.855739914764295,1,-1
200,ACSF2,-0.906309981680966,1,translational_only,NA,NA,1
201,ACSF3,1.63563731130399,1,both,NA,NA,1
202,ACSL1,1.2666160904249,1,translational_only,NA,NA,1
203,ACSL3,0.622785036382216,1,translational_only,0.000124950623221,0.018592652735357,-1
204,ACSL4,0.514273325264023,1,translational_only,NA,NA,1
205,ACSL5,0.843219093245757,1,translational_only,NA,NA,1
206,ACSL6,0.55638987404579,1,translational_only,NA,NA,1
207,ACSM1,0,1,translational_only,NA,NA,1
208,ACSM2A,-0.969046714732135,1,translational_only,NA,NA,1
209,ACSM2B,0,1,translational_only,NA,NA,1
210,ACSM3,0.696311275998964,1,translational_only,0.228570797286029,1,1
211,ACSM4,0.591564504518356,1,translational_only,0.44365383952017,1,-1
212,ACSM5,0,1,translational_only,NA,NA,1
213,ACSM6,0,1,translational_only,NA,NA,1
214,ACSS1,1.36930664805731,1,translational_only,NA,NA,1
215,ACSS2,0.060942855436951,1,translational_only,0.569437027387556,1,-1
216,ACSS3,4.29773290126678,1,both,NA,NA,1
217,ACTA1,-3.2400199132937,1,both,NA,NA,1
218,ACTA2,0.233383218587573,1,translational_only,NA,NA,1
219,ACTA2-AS1,0.422379230567557,1,translational_only,0.704309247036441,1,1
220,ACTB,0.679446937249372,0.757383407799049,translational_only,1,1,1
221,ACTBL2,0,1,translational_only,NA,NA,1
222,ACTC1,0,1,translational_only,NA,NA,1
223,ACTG1,0.663620371736282,0.804085433675869,translational_only,1,1,1
224,ACTG1P17,-0.147678034653873,1,translational_only,NA,NA,1
225,ACTG1P20,0.123661283412302,1,translational_only,NA,NA,1
226,ACTG1P4,-2.38399129451971,1,both,NA,NA,1
227,ACTG2,0,1,translational_only,NA,NA,1
228,ACTL10,0.471768896945296,1,translational_only,NA,NA,1
229,ACTL6A,0.463093477161756,1,translational_only,0.198829129520735,1,-1
230,ACTL6B,0,1,translational_only,NA,NA,1
